	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality
																																																
educf_7_10	0.540***		0.241***		-0.00303***		-0.00218***		0.565***		0.241***		-0.00316***		-0.00214***		0.692***		0.278***		-0.00253***		-0.000849		0.728***		0.270***		-0.00388***		-0.00210***		0.744***		0.262***		-0.00416***		-0.00199**		0.747***		0.256***		-0.00463***		-0.00330***	
	(0.0113)		(0.00795)		(0.000436)		(0.000396)		(0.00800)		(0.00535)		(0.000503)		(0.000415)		(0.00834)		(0.00538)		(0.000639)		(0.000570)		(0.00926)		(0.00566)		(0.000779)		(0.000658)		(0.0106)		(0.00599)		(0.00106)		(0.000910)		(0.0126)		(0.00689)		(0.00135)		(0.00113)	
educf_11plus	0.671***		0.281***		-0.00246***		-0.00174***		0.742***		0.281***		-0.00194***		-0.00133***		0.820***		0.318***		-0.00109*		-7.24e-05		0.868***		0.331***		-0.00295***		-0.00117		0.927***		0.327***		-0.00507***		-0.00191		0.916***		0.340***		-0.00617***		-0.00378*	
	(0.0116)		(0.00799)		(0.000421)		(0.000378)		(0.00901)		(0.00561)		(0.000520)		(0.000433)		(0.00983)		(0.00578)		(0.000645)		(0.000581)		(0.0126)		(0.00692)		(0.00104)		(0.000929)		(0.0163)		(0.00861)		(0.00140)		(0.00127)		(0.0205)		(0.0104)		(0.00219)		(0.00197)	
Constant	-2.018***	-1.535***	-1.102***	-1.152***	0.0668***	0.0573***	0.0516***	0.0439***	-2.655***	-2.789***	-0.826***	-0.801***	0.101***	0.0920***	0.0736***	0.0685***	-3.868***	-3.632***	-1.276***	-1.395***	0.207***	0.181***	0.152***	0.131***	-2.080***	-1.554***	-0.448***	-0.414***	0.168***	0.144***	0.107***	0.0913***	-3.478***	-2.809***	-1.111***	-0.924***	0.262***	0.244***	0.205***	0.194***	-4.095***	-3.124***	-0.780***	-0.536***	0.290***	0.241***	0.217***	0.176***
	(0.142)	(0.115)	(0.148)	(0.143)	(0.00714)	(0.00628)	(0.00600)	(0.00520)	(0.542)	(0.538)	(0.112)	(0.107)	(0.0102)	(0.00877)	(0.00811)	(0.00669)	(0.535)	(0.543)	(0.280)	(0.288)	(0.0111)	(0.00939)	(0.00944)	(0.00799)	(0.390)	(0.387)	(0.101)	(0.0927)	(0.0147)	(0.0130)	(0.0119)	(0.0102)	(0.236)	(0.211)	(0.114)	(0.128)	(0.0232)	(0.0213)	(0.0202)	(0.0186)	(0.282)	(0.281)	(0.138)	(0.122)	(0.0287)	(0.0260)	(0.0240)	(0.0218)
																																																
Observations	108,816	108,816	41,932	41,932	300,684	300,684	300,684	300,684	178,464	178,464	72,373	72,373	336,187	336,187	336,187	336,187	184,943	184,943	77,580	77,580	299,540	299,540	299,540	299,540	165,971	165,971	74,714	74,714	249,034	249,034	249,034	249,034	143,372	143,372	71,074	71,074	205,146	205,146	205,146	205,146	115,953	115,953	61,767	61,767	160,529	160,529	160,529	160,529
R-squared	0.137	0.079	0.392	0.344	0.039	0.038	0.027	0.027	0.135	0.062	0.368	0.320	0.034	0.034	0.021	0.021	0.135	0.046	0.381	0.325	0.040	0.040	0.026	0.025	0.130	0.042	0.400	0.351	0.039	0.038	0.022	0.022	0.132	0.045	0.402	0.357	0.044	0.044	0.026	0.026	0.123	0.043	0.384	0.342	0.039	0.039	0.023	0.023
Robust standard errors in parentheses																																																
*** p<0.01, ** p<0.05, * p<0.1																																																
