	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																				
																			(1.836)	(1.794)	(2.617)	(0.130)	(0.130)	(0.142)	(0.635)	(0.637)	(0.676)	(0.152)	(0.152)	(0.165)	(417.7)	(401.7)	(173.2)	(0.185)	(0.186)	(0.201)
borddummy5																									0.954	0.844		0.181	0.269		45.48	45.27		0.131	0.223	
																									(0.844)	(0.848)		(0.178)	(0.179)		(578.7)	(556.4)		(0.216)	(0.217)	
borddummy6																															55.33	55.06		0.361	0.485	
																															(701.5)	(674.0)		(0.255)	(0.256)	
Constant	1.998	7.424*	4.194	-2.416	1.187	-0.00979	5.329	10.09**	7.552	2.807	6.549*	4.097	5.674	10.25**	10.37**	-5.155	-1.607	1.618	6.670	12.18**	10.47	3.307	7.891*	6.849	16.02**	18.80**	18.86**	1.893	5.053	4.921	136.4	142.1	103.0	3.136	7.176	5.443
	(4.319)	(3.287)	(6.138)	(3.302)	(3.157)	(3.509)	(2.952)	(2.077)	(4.161)	(3.099)	(2.980)	(3.290)	(3.945)	(3.350)	(3.629)	(4.000)	(3.924)	(4.299)	(6.084)	(4.389)	(5.883)	(3.365)	(3.219)	(3.514)	(2.877)	(2.488)	(2.390)	(3.312)	(3.126)	(3.401)	(1,580)	(1,542)	(684.5)	(3.886)	(3.683)	(3.979)
																																				
Observations	5,733	5,733	5,733	5,733	5,733	5,733	8,212	8,212	8,212	8,212	8,212	8,212	7,911	7,911	7,911	7,911	7,911	7,911	6,540	6,540	6,540	6,540	6,540	6,540	5,135	5,135	5,135	5,135	5,135	5,135	3,817	3,817	3,817	3,817	3,817	3,817
R-squared	0.110	0.074	-1.355	0.421	0.419	0.280	0.340	0.317	-0.949	0.403	0.400	0.268	0.337	0.329	0.180	0.378	0.374	0.247	-0.080	-0.086	-0.590	0.358	0.353	0.228	0.302	0.313	0.206	0.344	0.337	0.214	-136.449	-135.293	-62.448	0.325	0.316	0.196
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
