	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																														
agemay	0.00991**	0.0115**	0.0394**	0.00936**	0.0104**	0.0292**	0.0124**	0.0138**	0.0420**	0.00890**	0.00970**	0.0255**	0.0112**	0.0122**	0.0305**	0.00840**	0.00882**	0.0192**	0.0104**	0.0116**	0.0211**	0.00775**	0.00774**	0.0127**	0.0133**	0.0134**	0.0185**	0.00733**	0.00691**	0.00781**	0.00723**	0.00739**	0.00867**	0.00762**	0.00689**	0.00539**	0.00991**	0.0115**	0.0394**	0.00936**	0.0104**	0.0292**	0.0124**	0.0138**	0.0420**	0.00890**	0.00970**	0.0255**	0.0112**	0.0122**	0.0305**	0.00840**	0.00882**	0.0192**	0.0104**	0.0116**	0.0211**	0.00775**	0.00774**	0.0127**	0.0133**	0.0134**
	(0.00287)	(0.00300)	(0.00576)	(0.000896)	(0.000896)	(0.000915)	(0.00206)	(0.00214)	(0.00393)	(0.000744)	(0.000745)	(0.000771)	(0.00193)	(0.00198)	(0.00288)	(0.000754)	(0.000757)	(0.000794)	(0.00225)	(0.00232)	(0.00284)	(0.000827)	(0.000830)	(0.000877)	(0.00218)	(0.00220)	(0.00250)	(0.000946)	(0.000950)	(0.00100)	(0.00244)	(0.00246)	(0.00261)	(0.00113)	(0.00113)	(0.00119)	(0.00287)	(0.00300)	(0.00576)	(0.000896)	(0.000896)	(0.000915)	(0.00206)	(0.00214)	(0.00393)	(0.000744)	(0.000745)	(0.000771)	(0.00193)	(0.00198)	(0.00288)	(0.000754)	(0.000757)	(0.000794)	(0.00225)	(0.00232)	(0.00284)	(0.000827)	(0.000830)	(0.000877)	(0.00218)	(0.00220)
educf_11plus				0.456**	0.486**											0.0239	0.0348**					0.0735**	0.0856**					0.121**	0.142**					0.176**	0.202**					0.456**	0.486**											0.0239	0.0348**					0.0735**	0.0856**			
				(0.0121)	(0.0120)											(0.0123)	(0.0123)					(0.0164)	(0.0165)					(0.0232)	(0.0232)					(0.0319)	(0.0320)					(0.0121)	(0.0120)											(0.0123)	(0.0123)					(0.0164)	(0.0165)			
borddummy2							-0.0356	-0.0379	-0.148**	0.00381	0.00737	-0.0162**	-0.0234	-0.0242	-0.0908**	0.00260	0.00615	-0.00483	-0.0207	-0.0263	-0.0614**	0.00230	0.00640	0.00496	-0.0419*	-0.0403*	-0.0655**	0.00479	0.0100	0.0152	0.0108	0.0111	0.00182	0.00814	0.0145	0.0241							-0.0356	-0.0379	-0.148**	0.00381	0.00737	-0.0162**	-0.0234	-0.0242	-0.0908**	0.00260	0.00615	-0.00483	-0.0207	-0.0263	-0.0614**	0.00230	0.00640	0.00496	-0.0419*	-0.0403*
							(0.0223)	(0.0226)	(0.0313)	(0.00528)	(0.00530)	(0.00563)	(0.0176)	(0.0177)	(0.0221)	(0.00642)	(0.00644)	(0.00686)	(0.0198)	(0.0203)	(0.0231)	(0.00824)	(0.00827)	(0.00881)	(0.0188)	(0.0189)	(0.0210)	(0.0109)	(0.0110)	(0.0116)	(0.0208)	(0.0209)	(0.0221)	(0.0147)	(0.0148)	(0.0156)							(0.0223)	(0.0226)	(0.0313)	(0.00528)	(0.00530)	(0.00563)	(0.0176)	(0.0177)	(0.0221)	(0.00642)	(0.00644)	(0.00686)	(0.0198)	(0.0203)	(0.0231)	(0.00824)	(0.00827)	(0.00881)	(0.0188)	(0.0189)
borddummy3													-0.0426	-0.0429	-0.184**	0.0152*	0.0243**	0.00575	-0.0315	-0.0421	-0.110*	0.0163	0.0257**	0.0269**	-0.0700*	-0.0665*	-0.116**	0.0267*	0.0377**	0.0514**	0.0314	0.0307	0.0109	0.0259	0.0377*	0.0570**													-0.0426	-0.0429	-0.184**	0.0152*	0.0243**	0.00575	-0.0315	-0.0421	-0.110*	0.0163	0.0257**	0.0269**	-0.0700*	-0.0665*
													(0.0371)	(0.0373)	(0.0467)	(0.00733)	(0.00734)	(0.00781)	(0.0385)	(0.0393)	(0.0450)	(0.00887)	(0.00890)	(0.00946)	(0.0335)	(0.0338)	(0.0377)	(0.0114)	(0.0114)	(0.0120)	(0.0339)	(0.0341)	(0.0363)	(0.0150)	(0.0151)	(0.0158)													(0.0371)	(0.0373)	(0.0467)	(0.00733)	(0.00734)	(0.00781)	(0.0385)	(0.0393)	(0.0450)	(0.00887)	(0.00890)	(0.00946)	(0.0335)	(0.0338)
borddummy4																			-0.0288	-0.0442	-0.148*	0.0474**	0.0639**	0.0702**	-0.0883	-0.0827	-0.154**	0.0599**	0.0768**	0.101**	0.0736	0.0723	0.0440	0.0653**	0.0829**	0.113**																			-0.0288	-0.0442	-0.148*	0.0474**	0.0639**	0.0702**	-0.0883	-0.0827
																			(0.0606)	(0.0619)	(0.0708)	(0.0101)	(0.0102)	(0.0108)	(0.0498)	(0.0502)	(0.0560)	(0.0124)	(0.0124)	(0.0131)	(0.0484)	(0.0486)	(0.0517)	(0.0159)	(0.0160)	(0.0168)																			(0.0606)	(0.0619)	(0.0708)	(0.0101)	(0.0102)	(0.0108)	(0.0498)	(0.0502)
