	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																																					
borddummy5																									-0.544	-0.571		0.451***	0.577***		-0.0330	-0.0446		0.403***	0.516***		
																									(0.502)	(0.513)		(0.0662)	(0.0665)		(0.358)	(0.361)		(0.0753)	(0.0756)		
borddummy6																															-0.0537	-0.0711		0.484***	0.621***		
																															(0.440)	(0.445)		(0.0899)	(0.0903)		
Constant	3.578	10.08**	1.129	11.87	17.91	16.97	2.732	9.476**	-1.037	14.38***	20.55***	19.37***	4.867	11.34***	6.705	10.93	16.76	14.44	7.650*	11.96***	8.277*	5.332	10.76	8.873	3.782	9.026**	3.658	8.491	13.84	12.31	6.166	10.86***	5.461	16.38***	21.69***	18.85***	3.578
	(4.715)	(4.270)	(6.878)	(51,194)	(51,496)	(56,905)	(4.524)	(4.252)	(6.859)	(3.794)	(3.796)	(4.166)	(4.285)	(4.023)	(4.819)	(82,923)	(83,381)	(90,817)	(4.092)	(4.009)	(4.488)	(52,405)	(52,789)	(56,888)	(4.416)	(4.319)	(4.985)	(51,151)	(51,516)	(55,112)	(4.101)	(4.067)	(4.511)	(3.931)	(3.925)	(4.172)	(4.715)
																																					
Observations	39,946	39,946	39,946	39,946	39,946	39,946	64,246	64,246	64,246	64,246	64,246	64,246	70,120	70,120	70,120	70,120	70,120	70,120	65,685	65,685	65,685	65,685	65,685	65,685	57,080	57,080	57,080	57,080	57,080	57,080	45,850	45,850	45,850	45,850	45,850	45,850	39,946
R-squared	0.424	0.391	-0.089	0.454	0.447	0.325	0.364	0.324	-0.335	0.430	0.423	0.305	0.380	0.365	0.180	0.397	0.389	0.276	0.367	0.354	0.213	0.367	0.358	0.254	0.305	0.281	0.106	0.347	0.338	0.242	0.318	0.304	0.180	0.327	0.319	0.230	0.424
Standard errors in parentheses																																					
*** p<0.01, ** p<0.05, * p<0.1																																					
