	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																																								
agemay	0.0185**	0.0197**	0.0377**	0.0164**	0.0170**	0.0303**	0.0159**	0.0170**	0.0296**	0.0140**	0.0142**	0.0229**	0.0123**	0.0123**	0.0194**	0.0116**	0.0112**	0.0159**	0.0101**	0.0101**	0.0134**	0.00960**	0.00866**	0.0101**	0.0114**	0.0103**	0.0110**	0.00835**	0.00696**	0.00663**	0.0112**	0.00976**	0.00818**	0.00984**	0.00833**	0.00669**	0.0185**	0.0197**	0.0377**	0.0164**	0.0170**	0.0303**	0.0159**	0.0170**	0.0296**	0.0140**	0.0142**	0.0229**	0.0123**	0.0123**	0.0194**	0.0116**	0.0112**	0.0159**	0.0101**	0.0101**	0.0134**	0.00960**	0.00866**	0.0101**	0.0114**	0.0103**	0.0110**	0.00835**	0.00696**	0.00663**	0.0112**	0.00976**	0.00818**	0.00984**	0.00833**	0.00669**
	(0.00179)	(0.00183)	(0.00285)	(0.00120)	(0.00122)	(0.00129)	(0.00157)	(0.00161)	(0.00214)	(0.000905)	(0.000915)	(0.000972)	(0.00136)	(0.00138)	(0.00164)	(0.000807)	(0.000817)	(0.000866)	(0.00128)	(0.00130)	(0.00143)	(0.000794)	(0.000804)	(0.000847)	(0.00152)	(0.00155)	(0.00165)	(0.000843)	(0.000853)	(0.000894)	(0.00150)	(0.00153)	(0.00159)	(0.000945)	(0.000954)	(0.000995)	(0.00179)	(0.00183)	(0.00285)	(0.00120)	(0.00122)	(0.00129)	(0.00157)	(0.00161)	(0.00214)	(0.000905)	(0.000915)	(0.000972)	(0.00136)	(0.00138)	(0.00164)	(0.000807)	(0.000817)	(0.000866)	(0.00128)	(0.00130)	(0.00143)	(0.000794)	(0.000804)	(0.000847)	(0.00152)	(0.00155)	(0.00165)	(0.000843)	(0.000853)	(0.000894)	(0.00150)	(0.00153)	(0.00159)	(0.000945)	(0.000954)	(0.000995)
borddummy2							-0.0365	-0.0509	-0.136**	0.0116	0.0195**	0.00221	0.00122	0.000337	-0.0477	0.0145*	0.0204**	0.0106	0.0106	0.00313	-0.0296	0.0190*	0.0248**	0.0198*	-0.0195	-0.0180	-0.0330	0.0230*	0.0284**	0.0268*	0.00177	0.00474	0.00228	0.0173	0.0211	0.0195							-0.0365	-0.0509	-0.136**	0.0116	0.0195**	0.00221	0.00122	0.000337	-0.0477	0.0145*	0.0204**	0.0106	0.0106	0.00313	-0.0296	0.0190*	0.0248**	0.0198*	-0.0195	-0.0180	-0.0330	0.0230*	0.0284**	0.0268*	0.00177	0.00474	0.00228	0.0173	0.0211	0.0195
							(0.0327)	(0.0333)	(0.0394)	(0.00659)	(0.00667)	(0.00716)	(0.0213)	(0.0216)	(0.0244)	(0.00704)	(0.00713)	(0.00760)	(0.0177)	(0.0179)	(0.0195)	(0.00827)	(0.00838)	(0.00885)	(0.0204)	(0.0207)	(0.0220)	(0.0103)	(0.0104)	(0.0109)	(0.0190)	(0.0192)	(0.0201)	(0.0134)	(0.0135)	(0.0141)							(0.0327)	(0.0333)	(0.0394)	(0.00659)	(0.00667)	(0.00716)	(0.0213)	(0.0216)	(0.0244)	(0.00704)	(0.00713)	(0.00760)	(0.0177)	(0.0179)	(0.0195)	(0.00827)	(0.00838)	(0.00885)	(0.0204)	(0.0207)	(0.0220)	(0.0103)	(0.0104)	(0.0109)	(0.0190)	(0.0192)	(0.0201)	(0.0134)	(0.0135)	(0.0141)
educf_11plus										0.762**	0.875**					0.714**	0.831**											0.647**	0.731**																	0.762**	0.875**					0.714**	0.831**											0.647**	0.731**							
										(0.0194)	(0.0194)					(0.0201)	(0.0202)											(0.0270)	(0.0273)																	(0.0194)	(0.0194)					(0.0201)	(0.0202)											(0.0270)	(0.0273)							
borddummy3													-0.0216	-0.0235	-0.130*	0.00846	0.0220**	0.00172	-0.00178	-0.0180	-0.0875*	0.0155	0.0267**	0.0145	-0.0554	-0.0532	-0.0845*	0.0297**	0.0395**	0.0351**	-0.00761	-0.00276	-0.00787	0.0244	0.0309*	0.0276													-0.0216	-0.0235	-0.130*	0.00846	0.0220**	0.00172	-0.00178	-0.0180	-0.0875*	0.0155	0.0267**	0.0145	-0.0554	-0.0532	-0.0845*	0.0297**	0.0395**	0.0351**	-0.00761	-0.00276	-0.00787	0.0244	0.0309*	0.0276
													(0.0464)	(0.0469)	(0.0531)	(0.00826)	(0.00835)	(0.00891)	(0.0334)	(0.0338)	(0.0371)	(0.00902)	(0.00913)	(0.00964)	(0.0368)	(0.0372)	(0.0398)	(0.0107)	(0.0109)	(0.0114)	(0.0309)	(0.0312)	(0.0327)	(0.0137)	(0.0138)	(0.0144)													(0.0464)	(0.0469)	(0.0531)	(0.00826)	(0.00835)	(0.00891)	(0.0334)	(0.0338)	(0.0371)	(0.00902)	(0.00913)	(0.00964)	(0.0368)	(0.0372)	(0.0398)	(0.0107)	(0.0109)	(0.0114)	(0.0309)	(0.0312)	(0.0327)	(0.0137)	(0.0138)	(0.0144)
borddummy4																			-0.00170	-0.0255	-0.133*	0.0263*	0.0469**	0.0320**	-0.0934	-0.0879	-0.136*	0.0337**	0.0506**	0.0429**	-0.0190	-0.00867	-0.0152	0.0277	0.0405**	0.0365*																			-0.00170	-0.0255	-0.133*	0.0263*	0.0469**	0.0320**	-0.0934	-0.0879	-0.136*	0.0337**	0.0506**	0.0429**	-0.0190	-0.00867	-0.0152	0.0277	0.0405**	0.0365*
																			(0.0531)	(0.0538)	(0.0590)	(0.0105)	(0.0106)	(0.0112)	(0.0538)	(0.0546)	(0.0583)	(0.0118)	(0.0120)	(0.0126)	(0.0429)	(0.0435)	(0.0455)	(0.0146)	(0.0147)	(0.0154)																			(0.0531)	(0.0538)	(0.0590)	(0.0105)	(0.0106)	(0.0112)	(0.0538)	(0.0546)	(0.0583)	(0.0118)	(0.0120)	(0.0126)	(0.0429)	(0.0435)	(0.0455)	(0.0146)	(0.0147)	(0.0154)
