	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg
										
50._cou1	-0.00998	-0.0106	-0.00999	-0.0105					-0.445***	-0.446***
	(0.0133)	(0.0136)	(0.0145)	(0.0148)					(0.0167)	(0.0165)
52._cou1	0.0167*	0.0153	0.0147	0.0133	-0.0663***	-0.0603***				
	(0.00902)	(0.0107)	(0.0102)	(0.0119)	(0.00336)	(0.00385)				
53._cou1	-0.00607	-0.00721	-0.00886	-0.00996			-0.00957	-0.0156		
	(0.00439)	(0.00611)	(0.00550)	(0.00706)			(0.00758)	(0.00986)		
54._cou1	0.0857***	0.0844***	0.0854***	0.0842***			0.0835***	0.0762***		
	(0.00518)	(0.00683)	(0.00576)	(0.00747)			(0.00831)	(0.0109)		
55._cou1	-0.0302***	-0.0311***	-0.0300***	-0.0308***	-0.110***	-0.106***				
	(0.00586)	(0.00708)	(0.00675)	(0.00793)	(0.00673)	(0.00705)				
58._cou1	-0.0663***	-0.0671***	-0.0678***	-0.0686***			-0.0723***	-0.0764***		
	(0.00408)	(0.00511)	(0.00501)	(0.00598)			(0.00603)	(0.00743)		
59._cou1	0.0449***	0.0437***	0.0435***	0.0423***	-0.0353***	-0.0303***				
	(0.00620)	(0.00794)	(0.00700)	(0.00839)	(0.00565)	(0.00605)				
61._cou1	0.169***	0.168***	0.170***	0.169***					-0.269***	-0.270***
	(0.0124)	(0.0132)	(0.0140)	(0.0148)					(0.00786)	(0.00822)
62._cou1	0.0845***	0.0828***	0.0820***	0.0804***	0.00336*	0.0105***				
	(0.00997)	(0.0115)	(0.0112)	(0.0126)	(0.00181)	(0.00190)				
64._cou1	0.0978***	0.0975***	0.0973***	0.0969***			0.0776***	0.0759***		
	(0.0141)	(0.0143)	(0.0152)	(0.0154)			(0.0222)	(0.0224)		
67._cou1	0.0178**	0.0163*	0.0152*	0.0138			0.00719	-0.000580		
	(0.00755)	(0.00920)	(0.00867)	(0.0102)			(0.0121)	(0.0146)		
68._cou1	-0.0475***	-0.0482***	-0.0481***	-0.0487***	-0.125***	-0.123***				
	(0.00651)	(0.00727)	(0.00745)	(0.00812)	(0.00466)	(0.00443)				
1903b.year_birth	0	0	0	0	0	0				
	(0)	(0)	(0)	(0)	(0)	(0)				
1904.year_birth	0.175***	0.178***	0.176***	0.178***	0.178***	0.167***				
	(0.00341)	(0.00462)	(0.00338)	(0.00463)	(0.00331)	(0.00580)				
1905.year_birth	-0.201***	-0.197***	-0.201***	-0.197***	-0.197***	-0.216***				
	(0.00764)	(0.00770)	(0.00758)	(0.00770)	(0.00610)	(0.0102)				
1906.year_birth	-0.000958	0.000868	-0.000871	0.000918	0.00924	0.00188				
	(0.00670)	(0.00586)	(0.00664)	(0.00583)	(0.00780)	(0.00956)				
1907.year_birth	0.0913***	0.0939***	0.0914***	0.0940***	0.106***	0.0947***				
	(0.00728)	(0.00801)	(0.00723)	(0.00800)	(0.0104)	(0.0131)				
1908.year_birth	0.215***	0.218***	0.216***	0.218***	0.235***	0.226***				
	(0.00839)	(0.00901)	(0.00832)	(0.00898)	(0.0128)	(0.0151)				
1909.year_birth	0.134***	0.138***	0.135***	0.138***	0.156***	0.142***				
	(0.0108)	(0.0110)	(0.0107)	(0.0109)	(0.0147)	(0.0181)				
1910.year_birth	0.0937***	0.0970***	0.0936***	0.0968***	0.117***	0.104***				
	(0.0122)	(0.0121)	(0.0121)	(0.0121)	(0.0171)	(0.0204)				
1911.year_birth	-0.0415***	-0.0373***	-0.0413***	-0.0372***	-0.0150	-0.0325				
	(0.0136)	(0.0139)	(0.0135)	(0.0139)	(0.0189)	(0.0231)				
1912.year_birth	0.0182	0.0218	0.0181	0.0216	0.0458**	0.0317				
	(0.0152)	(0.0144)	(0.0151)	(0.0143)	(0.0205)	(0.0239)				
1913.year_birth	0.0182	0.0221	0.0183	0.0221	0.0480**	0.0328				
	(0.0166)	(0.0158)	(0.0164)	(0.0157)	(0.0225)	(0.0262)				
1914.year_birth	0.0704***	0.0751***	0.0700***	0.0747***	0.100***	0.0811***				
	(0.0183)	(0.0174)	(0.0182)	(0.0174)	(0.0239)	(0.0285)				
1915.year_birth	-0.0237	-0.0187	-0.0233	-0.0184	0.00752	-0.0125				
	(0.0193)	(0.0184)	(0.0192)	(0.0183)	(0.0252)	(0.0300)				
1916.year_birth	0.000482	0.00584	0.000704	0.00595	0.0330	0.0115				
	(0.0203)	(0.0195)	(0.0202)	(0.0195)	(0.0269)	(0.0319)				
1917.year_birth	-0.0241	-0.0187	-0.0240	-0.0187	0.00866	-0.0129				
	(0.0218)	(0.0206)	(0.0216)	(0.0206)	(0.0282)	(0.0332)				
1918.year_birth	-0.0177	-0.0123	-0.0177	-0.0124	0.0159	-0.00537				
	(0.0227)	(0.0215)	(0.0226)	(0.0215)	(0.0295)	(0.0344)				
1919.year_birth	0.00758	0.0136	0.00763	0.0136	0.0418	0.0176				
	(0.0232)	(0.0227)	(0.0230)	(0.0226)	(0.0308)	(0.0364)				
1920.year_birth	-0.0104	-0.00421	-0.0100	-0.00397	0.0240	-0.000754				
	(0.0242)	(0.0234)	(0.0240)	(0.0234)	(0.0317)	(0.0373)				
1921.year_birth	-0.0242	-0.0179	-0.0245	-0.0183	0.0102	-0.0147				
	(0.0253)	(0.0242)	(0.0252)	(0.0242)	(0.0327)	(0.0383)				
1922.year_birth	-0.0346	-0.0280	-0.0347	-0.0282	-0.000771	-0.0271				
	(0.0261)	(0.0252)	(0.0259)	(0.0253)	(0.0336)	(0.0395)				
1923.year_birth	-0.0630**	-0.0565**	-0.0633**	-0.0569**	-0.0296	-0.0556				
	(0.0267)	(0.0260)	(0.0266)	(0.0260)	(0.0347)	(0.0403)				
1924.year_birth	-0.0402	-0.0336	-0.0405	-0.0340	-0.00759	-0.0337				
	(0.0274)	(0.0266)	(0.0273)	(0.0267)	(0.0353)	(0.0409)				
1925.year_birth	-0.0401	-0.0332	-0.0403	-0.0335	-0.00832	-0.0357				
	(0.0279)	(0.0273)	(0.0279)	(0.0274)	(0.0361)	(0.0419)				
1926.year_birth	-0.0459	-0.0389	-0.0459	-0.0390	-0.0158	-0.0438				
	(0.0286)	(0.0282)	(0.0285)	(0.0282)	(0.0368)	(0.0426)				
1927.year_birth	-0.0302	-0.0231	-0.0302	-0.0232	-0.00195	-0.0302				
	(0.0291)	(0.0288)	(0.0291)	(0.0289)	(0.0374)	(0.0431)				
1928.year_birth	-0.0407	-0.0335	-0.0409	-0.0338	-0.0131	-0.0416				
	(0.0294)	(0.0292)	(0.0293)	(0.0293)	(0.0380)	(0.0436)				
1929.year_birth	-0.0496	-0.0423	-0.0501	-0.0429	-0.0243	-0.0533				
	(0.0301)	(0.0300)	(0.0300)	(0.0301)	(0.0385)	(0.0440)				
1930.year_birth	-0.0274	-0.0201	-0.0280	-0.0208	-0.00461	-0.0335				
	(0.0305)	(0.0306)	(0.0305)	(0.0308)	(0.0390)	(0.0443)				
1931.year_birth	-0.0422	-0.0349	-0.0425	-0.0353	-0.0218	-0.0510				
	(0.0308)	(0.0313)	(0.0308)	(0.0315)	(0.0397)	(0.0447)				
1932.year_birth	0.0131	0.0205	0.0117	0.0190	0.0313	0.00200				
	(0.0312)	(0.0319)	(0.0313)	(0.0321)	(0.0402)	(0.0450)				
1933.year_birth	-0.0717**	-0.0643*	-0.0724**	-0.0652*	-0.0570	-0.0862*				
	(0.0316)	(0.0326)	(0.0317)	(0.0329)	(0.0408)	(0.0453)				
1934.year_birth	-0.0226	-0.0153	-0.0231	-0.0159	-0.0105	-0.0397				
	(0.0319)	(0.0331)	(0.0320)	(0.0334)	(0.0413)	(0.0455)				
1935.year_birth	-0.0559*	-0.0487	-0.0571*	-0.0500	-0.0471	-0.0758				
	(0.0321)	(0.0337)	(0.0324)	(0.0342)	(0.0420)	(0.0457)				
1936.year_birth	-0.0538	-0.0469	-0.0544	-0.0477	-0.0476	-0.0748				
	(0.0329)	(0.0343)	(0.0330)	(0.0347)	(0.0424)	(0.0456)				
1937.year_birth	-0.0530	-0.0460	-0.0553*	-0.0485	-0.0500	-0.0774				
	(0.0327)	(0.0350)	(0.0330)	(0.0353)	(0.0432)	(0.0460)				
1941.year_birth	0.825***	0.820***	0.807***	0.802***						
	(0.0406)	(0.0425)	(0.0395)	(0.0417)						
1942.year_birth	0.243***	0.240***	0.242***	0.238***	0.180***	0.189***			-0.611***	-0.622***
	(0.0651)	(0.0662)	(0.0649)	(0.0661)	(0.0546)	(0.0545)			(0.0349)	(0.0388)
1943.year_birth	0.186***	0.183***	0.185***	0.182***	0.0883	0.0971*	-0.0185	-0.0142	-0.547***	-0.550***
	(0.0461)	(0.0463)	(0.0459)	(0.0462)	(0.0536)	(0.0531)	(0.0150)	(0.0142)	(0.0652)	(0.0705)
1944.year_birth	0.257***	0.254***	0.256***	0.254***	0.158***	0.166***	0.223***	0.232***	-0.644***	-0.646***
