	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																																																								
agemay	0.00223**	0.00273**	0.00523**	0.00310**	0.00348**	0.00586**	0.00352**	0.00383**	0.00632**	0.00273**	0.00289**	0.00432**	0.00165**	0.00174**	0.00267**	0.00227**	0.00223**	0.00275**	0.00151*	0.00147*	0.00170*	0.00164**	0.00140**	0.00114**	0.00176*	0.00142	0.000943	0.00122**	0.000813	0.000155	0.000451	-8.10e-05	-0.00106	0.00121*	0.000708	-0.000232	0.00415**	0.00510**	0.0100**	0.00588**	0.00661**	0.0114**	0.00683**	0.00743**	0.0124**	0.00522**	0.00552**	0.00836**	0.00315**	0.00334**	0.00518**	0.00431**	0.00423**	0.00526**	0.00309*	0.00302*	0.00348**	0.00312**	0.00265**	0.00214*	0.00326*	0.00260	0.00166	0.00220*	0.00140	0.000107	0.00121	0.000181	-0.00176	0.00237*	0.00140	-0.000460
	(0.000765)	(0.000766)	(0.00105)	(0.000610)	(0.000612)	(0.000623)	(0.000654)	(0.000658)	(0.000799)	(0.000465)	(0.000468)	(0.000477)	(0.000608)	(0.000609)	(0.000671)	(0.000427)	(0.000429)	(0.000438)	(0.000638)	(0.000641)	(0.000672)	(0.000429)	(0.000431)	(0.000440)	(0.000766)	(0.000773)	(0.000794)	(0.000464)	(0.000466)	(0.000476)	(0.000858)	(0.000870)	(0.000880)	(0.000530)	(0.000532)	(0.000542)	(0.00152)	(0.00152)	(0.00209)	(0.00121)	(0.00121)	(0.00124)	(0.00130)	(0.00131)	(0.00158)	(0.000922)	(0.000927)	(0.000946)	(0.00120)	(0.00121)	(0.00133)	(0.000846)	(0.000850)	(0.000869)	(0.00126)	(0.00127)	(0.00133)	(0.000850)	(0.000854)	(0.000873)	(0.00152)	(0.00153)	(0.00157)	(0.000919)	(0.000923)	(0.000942)	(0.00170)	(0.00172)	(0.00174)	(0.00105)	(0.00105)	(0.00107)
borddummy2							-0.0417**	-0.0447**	-0.0695**	-0.0146**	-0.0121**	-0.0140**	-0.00721	-0.00847	-0.0191	-0.0215**	-0.0196**	-0.0208**	0.00352	0.00186	-0.00657	0.00130	0.00312	0.00259	0.0133	0.0141	0.0125	0.0203**	0.0219**	0.0227**	0.0397**	0.0405**	0.0407**	0.0329**	0.0335**	0.0333**							-0.0841**	-0.0898**	-0.139**	-0.0287**	-0.0241**	-0.0279**	-0.0153	-0.0178	-0.0388	-0.0419**	-0.0381**	-0.0405**	0.00409	0.000884	-0.0158	0.00360	0.00708	0.00602	0.0276	0.0291	0.0260	0.0413**	0.0445**	0.0459**	0.0746**	0.0761**	0.0765**	0.0642**	0.0654**	0.0648**
							(0.0161)	(0.0162)	(0.0179)	(0.00350)	(0.00352)	(0.00363)	(0.0106)	(0.0106)	(0.0114)	(0.00390)	(0.00392)	(0.00404)	(0.00922)	(0.00925)	(0.00967)	(0.00489)	(0.00492)	(0.00505)	(0.0103)	(0.0104)	(0.0107)	(0.00668)	(0.00672)	(0.00687)	(0.0118)	(0.0119)	(0.0122)	(0.0102)	(0.0103)	(0.0105)							(0.0319)	(0.0321)	(0.0355)	(0.00694)	(0.00697)	(0.00720)	(0.0210)	(0.0211)	(0.0225)	(0.00774)	(0.00778)	(0.00800)	(0.0183)	(0.0183)	(0.0192)	(0.00970)	(0.00975)	(0.0100)	(0.0204)	(0.0206)	(0.0211)	(0.0132)	(0.0133)	(0.0136)	(0.0235)	(0.0236)	(0.0241)	(0.0202)	(0.0203)	(0.0207)
borddummy3													-0.00568	-0.00911	-0.0334	-0.0391**	-0.0350**	-0.0374**	-0.0209	-0.0253	-0.0434*	-0.0256**	-0.0226**	-0.0238**	3.66e-05	0.000552	-0.00312	0.0149*	0.0173*	0.0185**	0.0615**	0.0623**	0.0643**	0.0459**	0.0463**	0.0473**													-0.0153	-0.0220	-0.0701	-0.0771**	-0.0693**	-0.0741**	-0.0489	-0.0573	-0.0930*	-0.0499**	-0.0440**	-0.0465**	0.00121	0.00218	-0.00515	0.0305*	0.0350**	0.0375**	0.114**	0.115**	0.119**	0.0901**	0.0909**	0.0927**
													(0.0234)	(0.0235)	(0.0251)	(0.00455)	(0.00458)	(0.00471)	(0.0175)	(0.0175)	(0.0184)	(0.00521)	(0.00524)	(0.00538)	(0.0181)	(0.0182)	(0.0188)	(0.00673)	(0.00677)	(0.00692)	(0.0170)	(0.0171)	(0.0174)	(0.00988)	(0.00993)	(0.0101)													(0.0464)	(0.0465)	(0.0498)	(0.00903)	(0.00908)	(0.00933)	(0.0347)	(0.0348)	(0.0365)	(0.0103)	(0.0104)	(0.0107)	(0.0359)	(0.0361)	(0.0372)	(0.0133)	(0.0134)	(0.0137)	(0.0337)	(0.0339)	(0.0345)	(0.0196)	(0.0197)	(0.0201)
borddummy4																			-0.0390	-0.0459	-0.0747*	-0.0469**	-0.0414**	-0.0421**	-0.0426	-0.0414	-0.0478	-0.0196**	-0.0156*	-0.0144	0.0606**	0.0630**	0.0658**	0.0368**	0.0385**	0.0399**																			-0.0901	-0.103	-0.160**	-0.0919**	-0.0814**	-0.0827**	-0.0821	-0.0798	-0.0927	-0.0368*	-0.0291*	-0.0269	0.108*	0.113*	0.118*	0.0718**	0.0751**	0.0777**
																			(0.0285)	(0.0285)	(0.0300)	(0.00601)	(0.00604)	(0.00619)	(0.0270)	(0.0271)	(0.0280)	(0.00723)	(0.00727)	(0.00743)	(0.0235)	(0.0236)	(0.0241)	(0.0101)	(0.0102)	(0.0104)																			(0.0564)	(0.0566)	(0.0594)	(0.0119)	(0.0120)	(0.0123)	(0.0534)	(0.0537)	(0.0554)	(0.0143)	(0.0144)	(0.0147)	(0.0465)	(0.0468)	(0.0477)	(0.0201)	(0.0201)	(0.0206)
borddummy5																									-0.0711	-0.0696		-0.0375**	-0.0320**		0.0361	0.0396		0.00312	0.00577																										-0.139	-0.137		-0.0733**	-0.0626**		0.0549	0.0616		0.00436	0.00947	
																									(0.0387)	(0.0390)		(0.00812)	(0.00816)		(0.0312)	(0.0314)		(0.0107)	(0.0108)																										(0.0768)	(0.0772)		(0.0161)	(0.0162)		(0.0617)	(0.0622)		(0.0212)	(0.0213)	
borddummy6																															0.0379	0.0428		-0.00753	-0.00378																																0.0516	0.0610		-0.0180	-0.0108	
																															(0.0420)	(0.0423)		(0.0116)	(0.0117)																																(0.0831)	(0.0838)		(0.0231)	(0.0232)	
Constant	-0.320**	0.353**	0.524**	-0.900*	-0.271	-0.168	-0.540**	0.0871	0.277**	0.117	0.739**	0.822**	-0.218**	0.384**	0.572**	-0.732*	-0.158	-0.0756	-0.295**	0.257**	0.434**	-0.0856	0.465*	0.511*	-0.291*	0.223	0.424**	-0.0346	0.477	0.584	0.108	0.614**	0.824**	-0.112	0.388	0.475	-0.581**	0.721**	1.056**	-1.755*	-0.538	-0.335	-1.027**	0.180	0.554**	0.293	1.492**	1.654**	-0.403*	0.760**	1.132**	-1.428*	-0.317	-0.155	-0.586**	0.481**	0.832**	-0.135	0.932*	1.022*	-0.554*	0.450	0.847**	0.00433	1.004	1.215	0.163	1.156**	1.577**	-0.280	0.702	0.875
	(0.103)	(0.0894)	(0.0859)	(0.416)	(0.415)	(0.431)	(0.0835)	(0.0766)	(0.0757)	(0.215)	(0.212)	(0.219)	(0.0816)	(0.0765)	(0.0755)	(0.304)	(0.303)	(0.312)	(0.0872)	(0.0848)	(0.0851)	(0.219)	(0.217)	(0.223)	(0.118)	(0.117)	(0.117)	(3,871)	(3,892)	(3,981)	(0.146)	(0.146)	(0.137)	(4,710)	(4,736)	(4,832)	(0.204)	(0.177)	(0.170)	(0.825)	(0.822)	(0.854)	(0.166)	(0.152)	(0.150)	(0.426)	(0.421)	(0.435)	(0.162)	(0.152)	(0.150)	(0.603)	(0.601)	(0.619)	(0.173)	(0.168)	(0.169)	(0.435)	(0.431)	(0.442)	(0.234)	(0.232)	(0.232)	(7,672)	(7,712)	(7,888)	(0.289)	(0.289)	(0.272)	(9,337)	(9,384)	(9,576)
																																																																								
Observations	41,358	41,358	41,358	41,358	41,358	41,358	71,706	71,706	71,706	71,706	71,706	71,706	84,807	84,807	84,807	84,807	84,807	84,807	83,246	83,246	83,246	83,246	83,246	83,246	73,037	73,037	73,037	73,037	73,037	73,037	57,779	57,779	57,779	57,779	57,779	57,779	41,358	41,358	41,358	41,358	41,358	41,358	71,706	71,706	71,706	71,706	71,706	71,706	84,807	84,807	84,807	84,807	84,807	84,807	83,246	83,246	83,246	83,246	83,246	83,246	73,037	73,037	73,037	73,037	73,037	73,037	57,779	57,779	57,779	57,779	57,779	57,779
R-squared	0.239	0.237	0.191	0.263	0.255	0.196	0.237	0.224	0.148	0.246	0.237	0.184	0.233	0.226	0.182	0.237	0.229	0.182	0.237	0.229	0.185	0.237	0.229	0.187	0.234	0.225	0.188	0.235	0.227	0.191	0.227	0.219	0.186	0.229	0.221	0.189	0.247	0.246	0.201	0.272	0.264	0.206	0.244	0.232	0.157	0.254	0.246	0.194	0.242	0.235	0.192	0.245	0.237	0.192	0.245	0.237	0.194	0.245	0.237	0.197	0.242	0.234	0.197	0.243	0.235	0.200	0.236	0.228	0.195	0.237	0.229	0.197
Standard errors in parentheses																																																																								
** p<0.01, * p<0.05																																																																								
