	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_three_fam																-0.0326**	-0.0285*	-0.0175	-0.00218	-0.000901	0.00239	-0.00183	-0.00188	-0.00195	-0.000298	-0.000329	-0.000366	0.856***	0.852***	0.848***																																																												
																(0.0152)	(0.0154)	(0.0162)	(0.00868)	(0.00870)	(0.00900)	(0.00149)	(0.00149)	(0.00149)	(0.00120)	(0.00120)	(0.00120)	(0.0186)	(0.0186)	(0.0189)																																																												
twin_four_fam																															-0.0275*	-0.0231	-0.0186	-0.000892	0.000264	0.00496	-0.00225	-0.00233	-0.00232	0.000391	0.000321	0.000328	0.880***	0.878***	0.873***																																													
																															(0.0143)	(0.0144)	(0.0155)	(0.00740)	(0.00742)	(0.00761)	(0.00148)	(0.00148)	(0.00148)	(0.00120)	(0.00120)	(0.00120)	(0.0172)	(0.0172)	(0.0174)																																													
twin_five_fam																																														-0.0159	-0.00607	-0.0185	0.00534	0.00861	0.00455	-0.00222	-0.00237	-0.00231	0.00115	0.00105	0.00108	0.885***	0.881***	0.888***																														
																																														(0.0140)	(0.0141)	(0.0148)	(0.00684)	(0.00690)	(0.00712)	(0.00188)	(0.00188)	(0.00188)	(0.00158)	(0.00158)	(0.00158)	(0.0163)	(0.0163)	(0.0164)																														
twin_six_fam																																																													0.00534	0.00819	0.0134	0.00696	0.00884	0.0122	0.00318	0.00314	0.00310	0.00150	0.00147	0.00145	0.895***	0.894***	0.893***															
																																																													(0.0147)	(0.0148)	(0.0156)	(0.00713)	(0.00719)	(0.00747)	(0.00256)	(0.00256)	(0.00256)	(0.00190)	(0.00190)	(0.00190)	(0.0178)	(0.0178)	(0.0179)															
twin_seven_fam																																																																												-0.0523***	-0.0478***	-0.0498***	-0.0255***	-0.0246***	-0.0256***	-0.00140	-0.00153	-0.00148	0.00268	0.00259	0.00263	0.918***	0.919***	0.918***
																																																																												(0.0153)	(0.0154)	(0.0161)	(0.00680)	(0.00683)	(0.00697)	(0.00296)	(0.00296)	(0.00296)	(0.00257)	(0.00257)	(0.00258)	(0.0185)	(0.0185)	(0.0186)
Constant	-5.627***	-4.608***	-5.830***	-0.998***	-0.629***	-1.199***	0.513***	0.492***	0.490***	0.122***	0.103***	0.101***	6.783***	5.996***	6.941***	-3.361***	-2.339***	-3.040***	-0.783***	-0.449***	-0.766***	0.340***	0.322***	0.323***	0.161***	0.148***	0.148***	2.952***	2.215**	2.726***	-3.827***	-2.888***	-3.492***	-0.810***	-0.530***	-0.808***	0.359***	0.336***	0.337***	0.189***	0.171***	0.171***	3.364***	2.860***	3.189***	-3.406***	-2.459***	-2.852***	-0.621***	-0.320***	-0.505***	0.383***	0.362***	0.363***	0.207***	0.193***	0.194***	2.644***	2.239***	2.440***	-3.645***	-2.743***	-3.018***	-0.587***	-0.304***	-0.427***	0.412***	0.390***	0.391***	0.245***	0.231***	0.231***	2.497***	2.306***	2.183***	-3.401***	-2.471***	-2.674***	-0.413***	-0.130	-0.202**	0.438***	0.398***	0.399***	0.264***	0.238***	0.238***	2.141***	2.111***	2.182***
	(0.0943)	(0.0769)	(0.0795)	(0.0663)	(0.0590)	(0.0610)	(0.0116)	(0.0103)	(0.0102)	(0.00604)	(0.00480)	(0.00471)	(0.286)	(0.264)	(0.128)	(0.433)	(0.421)	(0.399)	(0.137)	(0.133)	(0.138)	(0.0169)	(0.0160)	(0.0162)	(0.0110)	(0.0102)	(0.0104)	(0.924)	(0.920)	(0.883)	(0.0900)	(0.0811)	(0.0843)	(0.0538)	(0.0497)	(0.0514)	(0.0132)	(0.0121)	(0.0121)	(0.00945)	(0.00855)	(0.00852)	(0.234)	(0.265)	(0.148)	(0.121)	(0.115)	(0.121)	(0.0768)	(0.0749)	(0.0772)	(0.0180)	(0.0171)	(0.0170)	(0.0130)	(0.0121)	(0.0121)	(0.152)	(0.143)	(0.141)	(0.392)	(0.387)	(0.384)	(0.0899)	(0.0881)	(0.0902)	(0.0244)	(0.0232)	(0.0232)	(0.0191)	(0.0181)	(0.0181)	(0.185)	(0.178)	(0.149)	(0.349)	(0.343)	(0.342)	(0.101)	(0.0986)	(0.0993)	(0.0296)	(0.0280)	(0.0279)	(0.0218)	(0.0204)	(0.0204)	(0.183)	(0.172)	(0.171)
																																																																																										
Observations	249,205	249,205	249,205	134,809	134,809	134,809	275,742	275,742	275,742	332,779	332,779	332,779	332,784	332,784	332,784	380,633	380,633	380,633	214,636	214,636	214,636	409,679	409,679	409,679	457,006	457,006	457,006	457,013	457,013	457,013	395,385	395,385	395,385	235,701	235,701	235,701	417,809	417,809	417,809	451,911	451,911	451,911	451,915	451,915	451,915	354,959	354,959	354,959	223,841	223,841	223,841	371,548	371,548	371,548	396,472	396,472	396,472	396,472	396,472	396,472	293,202	293,202	293,202	192,405	192,405	192,405	305,751	305,751	305,751	324,456	324,456	324,456	324,458	324,458	324,458	223,778	223,778	223,778	149,847	149,847	149,847	233,045	233,045	233,045	246,293	246,293	246,293	246,293	246,293	246,293
R-squared	0.157	0.151	0.046	0.464	0.461	0.410	0.315	0.315	0.315	0.196	0.196	0.196	0.488	0.486	0.456	0.149	0.141	0.034	0.437	0.433	0.383	0.075	0.075	0.075	0.041	0.041	0.041	0.409	0.406	0.378	0.144	0.136	0.033	0.411	0.406	0.360	0.057	0.057	0.057	0.031	0.031	0.031	0.346	0.345	0.322	0.138	0.129	0.038	0.387	0.382	0.343	0.049	0.048	0.048	0.026	0.026	0.026	0.293	0.292	0.278	0.132	0.123	0.044	0.367	0.362	0.330	0.046	0.046	0.045	0.025	0.025	0.025	0.248	0.248	0.239	0.127	0.118	0.050	0.350	0.345	0.318	0.041	0.041	0.041	0.023	0.023	0.023	0.206	0.206	0.199
Robust standard errors in parentheses																																																																																										
*** p<0.01, ** p<0.05, * p<0.1																																																																																										
