	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
																									(1.302)	(1.307)		(0.245)	(0.244)		(3.624)	(3.525)		(0.261)	(0.260)	
borddummy6																															4.159	3.939		-0.364	-0.241	
																															(4.438)	(4.315)		(0.293)	(0.292)	
Constant	8.760	9.458	8.263	3.590	5.285*	7.298**	-29.66*	-20.75	-11.20	5.755**	7.423**	9.813**	4.538	7.111	3.209	2.474	6.099**	8.676**	1.832	4.644	4.673	4.003*	5.721**	8.330**	5.515	7.575	8.589	3.891	6.184**	8.249**	27.79	23.04	28.63	4.696	4.609*	6.624**
	(13.71)	(10.11)	(13.87)	(2.602)	(2.065)	(2.097)	(14.75)	(11.78)	(9.948)	(1.838)	(1.388)	(1.408)	(11.06)	(9.178)	(13.51)	(2.033)	(1.482)	(1.491)	(10.70)	(8.865)	(9.046)	(2.027)	(1.451)	(1.460)	(8.830)	(7.697)	(7.565)	(2.364)	(1.731)	(1.731)	(21.70)	(16.86)	(15.68)	(2.433)	(1.791)	(1.795)
																																				
Observations	4,707	4,707	4,707	4,707	4,707	4,707	6,939	6,939	6,939	6,939	6,939	6,939	6,997	6,997	6,997	6,997	6,997	6,997	6,346	6,346	6,346	6,346	6,346	6,346	5,514	5,514	5,514	5,514	5,514	5,514	4,487	4,487	4,487	4,487	4,487	4,487
R-squared	0.146	0.145	0.124	0.167	0.167	0.125	-1.403	-1.309	-1.440	0.187	0.187	0.142	0.163	0.167	0.129	0.175	0.174	0.142	0.192	0.191	0.136	0.205	0.205	0.171	0.200	0.199	0.178	0.203	0.201	0.178	-0.140	-0.090	-0.087	0.267	0.263	0.239
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
