	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
																									(1.210)	(1.229)		(0.157)	(0.158)		(0.901)	(0.930)		(0.179)	(0.180)	
borddummy6																															0.0697	0.448		0.00987	0.0284	
																															(1.118)	(1.153)		(0.207)	(0.208)	
Constant	1.657	6.037	94.30	-3.667*	3.955**	5.707**	-629.8	-332.2	-11.01	-2.246	4.679	7.927	-24.18	-13.99	-33.66	-2.152	4.336	7.700	1.575	7.121	6.504	-1.525	4.447	7.526	3.866	10.99	13.73	-0.857	4.989	7.699	2.198	8.922	11.30	0.279	4.792	7.285
	(24.13)	(22.87)	(1,071)	(1.761)	(1.207)	(1.263)	(18,818)	(6,614)	(97.80)	(4.678)	(4.589)	(4.770)	(20.33)	(18.77)	(40.32)	(4.583)	(4.520)	(4.688)	(11.01)	(10.96)	(11.65)	(4.570)	(4.512)	(4.655)	(7.119)	(7.239)	(7.273)	(4.698)	(4.631)	(4.751)	(6.377)	(6.639)	(6.696)	(4.841)	(4.753)	(4.862)
																																				
Observations	7,622	7,622	7,622	7,622	7,622	7,622	13,507	13,507	13,507	13,507	13,507	13,507	16,982	16,982	16,982	16,982	16,982	16,982	18,025	18,025	18,025	18,025	18,025	18,025	17,242	17,242	17,242	17,242	17,242	17,242	14,620	14,620	14,620	14,620	14,620	14,620
R-squared	0.257	0.152	-67.549	0.258	0.249	0.172	-339.450	-110.077	-0.378	0.218	0.209	0.144	-0.270	-0.191	-2.063	0.203	0.194	0.131	0.179	0.173	0.101	0.183	0.173	0.119	0.149	0.139	0.098	0.160	0.151	0.106	0.143	0.134	0.094	0.143	0.136	0.094
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
