	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool	school_zscore	school_zscore	educ	educ	attendance	attendance	highschool	highschool
																																																								
T_After	-0.0590	-0.0470	-0.122	-0.123	-0.0314	-0.0434	-0.0218	-0.0247	0.0142	0.0286	0.0875	0.119**	-0.00636	-0.0175	0.00600	0.0176	-0.0199	-0.0180	0.0451	0.00321	0.00508	-0.000619	-0.00605	-0.0248*	-0.0223	0.0165	-0.0398	0.0532	0.000142	0.000700	-0.0120	-0.00630	-0.0265	-0.0241	-0.0299	-0.0364	0.00944	0.00527	0.0110	-0.00864	-0.0255	0.00775	-0.0168	0.0635	-0.00924	-0.00902	-0.00518	0.00557	0.00141	0.0100	0.0375	0.0441	-0.00672	0.00498	0.0194*	0.00473
educf_7_10	0.458***		1.230***		0.117***		0.228***		0.504***		1.261***		0.138***		0.220***		0.652***		1.545***		0.166***		0.274***		0.701***		1.587***		0.173***		0.273***		0.727***		1.612***		0.186***		0.273***		0.737***		1.682***		0.200***		0.266***		0.683***		1.599***		0.186***		0.242***	
	(0.0141)		(0.0312)		(0.00671)		(0.00896)		(0.00904)		(0.0210)		(0.00464)		(0.00566)		(0.00907)		(0.0207)		(0.00462)		(0.00542)		(0.0104)		(0.0239)		(0.00550)		(0.00607)		(0.0114)		(0.0260)		(0.00575)		(0.00642)		(0.0137)		(0.0309)		(0.00687)		(0.00754)		(0.0155)		(0.0384)		(0.00860)		(0.00890)	
educf_11plus	0.575***		1.451***		0.153***		0.254***		0.682***		1.589***		0.181***		0.256***		0.794***		1.846***		0.208***		0.309***		0.840***		1.919***		0.217***		0.329***		0.923***		2.120***		0.228***		0.337***		0.922***		2.152***		0.246***		0.346***		0.950***		2.201***		0.260***		0.340***	
	(0.0142)		(0.0311)		(0.00673)		(0.00909)		(0.0103)		(0.0222)		(0.00486)		(0.00607)		(0.0105)		(0.0239)		(0.00514)		(0.00594)		(0.0137)		(0.0324)		(0.00653)		(0.00717)		(0.0168)		(0.0422)		(0.00849)		(0.00879)		(0.0211)		(0.0555)		(0.0110)		(0.0108)		(0.0290)		(0.0825)		(0.0145)		(0.0140)	
Constant	-0.897***	-1.807***	1.272***	-2.229***	0.197	0.310**	-0.712***	-1.703***	-1.764***	-1.934***	1.264	1.158	-0.0617	0.0759	-0.860***	-0.827***	-3.906***	-3.551***	-4.463***	-3.654***	-0.916***	-0.668***	-1.965***	-1.982***	-4.572***	-4.560***	-4.180***	-7.266***	-1.021***	-0.741***	-0.578***	-1.285***	-3.531***	-2.769***	-2.842***	-1.067**	-1.319***	-1.122***	-1.156***	-0.942***	-4.410***	-3.297***	-6.186***	-3.510***	-1.585***	-1.261***	-1.039***	-0.778***	-3.483***	-2.571***	-2.485***	-0.145	-1.418***	-0.841***	-0.629***	-0.298*
	(0.183)	(0.155)	(0.306)	(0.280)	(0.140)	(0.130)	(0.191)	(0.181)	(0.539)	(0.534)	(0.949)	(0.932)	(0.109)	(0.103)	(0.132)	(0.126)	(0.148)	(0.132)	(0.383)	(0.357)	(0.155)	(0.133)	(0.125)	(0.119)	(0.366)	(0.139)	(0.705)	(0.344)	(0.109)	(0.102)	(0.120)	(0.109)	(0.265)	(0.233)	(0.560)	(0.459)	(0.175)	(0.189)	(0.134)	(0.162)	(0.358)	(0.337)	(0.889)	(0.829)	(0.191)	(0.184)	(0.147)	(0.131)	(0.392)	(0.383)	(0.843)	(0.807)	(0.240)	(0.233)	(0.182)	(0.177)
																																																								
Observations	69,354	69,604	69,401	69,651	48,944	49,001	30,334	30,453	123,828	124,547	123,888	124,607	82,855	83,054	60,418	60,788	141,492	142,755	141,597	142,860	91,440	91,851	70,296	71,065	123,348	124,822	123,425	124,899	78,615	79,136	63,476	64,359	111,507	113,211	111,554	113,258	71,296	71,921	60,471	61,616	87,228	88,757	87,256	88,785	55,201	55,825	49,836	50,917	69,399	70,761	69,412	70,774	44,503	45,041	40,976	42,010
R-squared	0.132	0.084	0.842	0.827	0.419	0.403	0.308	0.259	0.132	0.069	0.789	0.769	0.414	0.395	0.290	0.244	0.139	0.057	0.730	0.702	0.365	0.340	0.327	0.271	0.135	0.053	0.672	0.643	0.329	0.305	0.351	0.301	0.140	0.055	0.627	0.593	0.310	0.287	0.366	0.318	0.129	0.052	0.588	0.555	0.301	0.279	0.360	0.320	0.129	0.063	0.542	0.511	0.277	0.258	0.339	0.300
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
