	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_three_fam																-0.0287*	-0.0243	-0.0153	-0.00525	-0.00386	-0.00208	-0.00250*	-0.00254*	-0.00260*	-0.000992	-0.00102	-0.00106	0.856***	0.853***	0.848***																																																												
																(0.0147)	(0.0148)	(0.0157)	(0.00839)	(0.00841)	(0.00875)	(0.00138)	(0.00138)	(0.00138)	(0.00109)	(0.00109)	(0.00109)	(0.0177)	(0.0177)	(0.0180)																																																												
twin_four_fam																															-0.0208	-0.0156	-0.00958	-0.000730	0.000603	0.00561	-0.00194	-0.00203	-0.00203	0.000295	0.000216	0.000219	0.864***	0.861***	0.855***																																													
																															(0.0137)	(0.0138)	(0.0148)	(0.00710)	(0.00712)	(0.00730)	(0.00143)	(0.00143)	(0.00143)	(0.00118)	(0.00117)	(0.00118)	(0.0162)	(0.0162)	(0.0164)																																													
twin_five_fam																																														-0.0141	-0.00430	-0.0116	0.00407	0.00730	0.00528	-0.00248	-0.00262	-0.00258	0.000977	0.000883	0.000899	0.860***	0.856***	0.860***																														
																																														(0.0132)	(0.0133)	(0.0140)	(0.00656)	(0.00663)	(0.00680)	(0.00179)	(0.00179)	(0.00179)	(0.00153)	(0.00153)	(0.00153)	(0.0151)	(0.0151)	(0.0153)																														
twin_six_fam																																																													0.0121	0.0141	0.0241	0.0114*	0.0124*	0.0168**	0.00165	0.00161	0.00154	0.00110	0.00108	0.00104	0.869***	0.869***	0.866***															
																																																													(0.0137)	(0.0139)	(0.0147)	(0.00683)	(0.00688)	(0.00719)	(0.00232)	(0.00232)	(0.00232)	(0.00184)	(0.00184)	(0.00184)	(0.0165)	(0.0165)	(0.0166)															
twin_seven_fam																																																																												-0.0533***	-0.0494***	-0.0476***	-0.0322***	-0.0316***	-0.0311***	-0.00166	-0.00177	-0.00175	0.00204	0.00197	0.00199	0.929***	0.929***	0.927***
																																																																												(0.0146)	(0.0147)	(0.0154)	(0.00660)	(0.00666)	(0.00675)	(0.00284)	(0.00284)	(0.00284)	(0.00246)	(0.00246)	(0.00246)	(0.0182)	(0.0182)	(0.0182)
Constant	-2.622**	-1.615	-2.933**	-0.818***	-0.448***	-1.055***	0.505***	0.486***	0.484***	0.122***	0.105***	0.103***	4.860***	4.051***	4.948***	-2.822***	-1.778***	-2.597***	-0.801***	-0.460***	-0.814***	0.320***	0.304***	0.304***	0.154***	0.141***	0.141***	3.319***	2.521***	3.091***	-3.801***	-2.851***	-3.479***	-0.919***	-0.632***	-0.910***	0.358***	0.337***	0.338***	0.193***	0.176***	0.176***	3.572***	3.010***	3.385***	-3.346***	-2.402***	-2.809***	-0.715***	-0.418***	-0.599***	0.388***	0.369***	0.370***	0.217***	0.204***	0.204***	2.861***	2.436***	2.597***	-3.547***	-2.644***	-2.913***	-0.658***	-0.382***	-0.498***	0.423***	0.404***	0.405***	0.257***	0.244***	0.244***	2.484***	2.254***	2.362***	-3.192***	-2.276***	-2.449***	-0.469***	-0.189*	-0.251**	0.463***	0.426***	0.427***	0.296***	0.271***	0.271***	2.238***	2.147***	2.199***
	(1.195)	(1.198)	(1.174)	(0.127)	(0.125)	(0.117)	(0.0110)	(0.00989)	(0.00978)	(0.00583)	(0.00465)	(0.00454)	(0.884)	(0.887)	(0.863)	(0.404)	(0.407)	(0.370)	(0.119)	(0.119)	(0.116)	(0.0171)	(0.0163)	(0.0164)	(0.0111)	(0.0105)	(0.0105)	(0.682)	(0.674)	(0.656)	(0.0860)	(0.0774)	(0.0807)	(0.0516)	(0.0476)	(0.0493)	(0.0128)	(0.0117)	(0.0117)	(0.00929)	(0.00843)	(0.00840)	(0.0891)	(0.0772)	(0.0777)	(0.120)	(0.115)	(0.121)	(0.0768)	(0.0751)	(0.0775)	(0.0176)	(0.0166)	(0.0166)	(0.0128)	(0.0120)	(0.0119)	(0.151)	(0.142)	(0.139)	(0.388)	(0.384)	(0.380)	(0.0889)	(0.0873)	(0.0895)	(0.0238)	(0.0227)	(0.0226)	(0.0188)	(0.0179)	(0.0178)	(0.152)	(0.142)	(0.140)	(0.335)	(0.330)	(0.330)	(0.0986)	(0.0966)	(0.0976)	(0.0293)	(0.0277)	(0.0277)	(0.0222)	(0.0210)	(0.0209)	(0.176)	(0.166)	(0.165)
																																																																																										
Observations	267,798	267,798	267,798	145,049	145,049	145,049	295,922	295,922	295,922	357,102	357,102	357,102	357,436	357,436	357,436	409,928	409,928	409,928	231,555	231,555	231,555	440,971	440,971	440,971	492,610	492,610	492,610	493,010	493,010	493,010	426,778	426,778	426,778	254,480	254,480	254,480	451,048	451,048	451,048	488,804	488,804	488,804	489,153	489,153	489,153	383,721	383,721	383,721	241,825	241,825	241,825	401,826	401,826	401,826	429,658	429,658	429,658	429,930	429,930	429,930	317,445	317,445	317,445	207,907	207,907	207,907	331,197	331,197	331,197	352,309	352,309	352,309	352,565	352,565	352,565	242,589	242,589	242,589	161,948	161,948	161,948	252,741	252,741	252,741	267,716	267,716	267,716	267,907	267,907	267,907
R-squared	0.160	0.154	0.048	0.460	0.457	0.404	0.313	0.313	0.313	0.197	0.196	0.196	0.486	0.483	0.453	0.152	0.144	0.036	0.433	0.429	0.376	0.074	0.074	0.074	0.041	0.041	0.041	0.407	0.404	0.375	0.147	0.138	0.034	0.406	0.402	0.353	0.057	0.057	0.057	0.032	0.032	0.032	0.344	0.343	0.320	0.141	0.131	0.038	0.383	0.378	0.337	0.050	0.050	0.049	0.028	0.028	0.028	0.291	0.290	0.275	0.134	0.125	0.044	0.363	0.357	0.324	0.047	0.047	0.047	0.026	0.026	0.026	0.246	0.246	0.237	0.128	0.119	0.050	0.346	0.341	0.313	0.043	0.043	0.043	0.025	0.025	0.025	0.205	0.205	0.198
Robust standard errors in parentheses																																																																																										
*** p<0.01, ** p<0.05, * p<0.1																																																																																										
