	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)
VARIABLES	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert	school_zscore	school_zscore	school_zscore	highschool	highschool	highschool	childmortality	childmortality	childmortality	infantmortality	infantmortality	infantmortality	fert	fert	fert
																																																																																										
twin_three_fam																-0.00573	0.000426	0.0179	-0.00308	-0.000475	0.00490	-0.000606	-0.000674	-0.000716	0.000200	0.000161	0.000142	0.697***	0.691***	0.675***																																																												
																(0.0220)	(0.0220)	(0.0232)	(0.0121)	(0.0121)	(0.0127)	(0.00183)	(0.00183)	(0.00183)	(0.00165)	(0.00165)	(0.00165)	(0.0280)	(0.0282)	(0.0288)																																																												
twin_four_fam																															-0.0169	-0.0124	-0.00811	-0.00305	-0.00175	0.00240	-0.00159	-0.00167	-0.00163	-0.00105	-0.00112	-0.00108	0.677***	0.674***	0.668***																																													
																															(0.0180)	(0.0180)	(0.0190)	(0.00951)	(0.00949)	(0.00969)	(0.00148)	(0.00148)	(0.00148)	(0.00118)	(0.00118)	(0.00118)	(0.0224)	(0.0225)	(0.0228)																																													
twin_five_fam																																														-0.0257	-0.0175	-0.0350*	0.00700	0.00953	0.00521	-0.00241	-0.00256	-0.00250	0.000476	0.000391	0.000405	0.784***	0.779***	0.794***																														
																																														(0.0174)	(0.0174)	(0.0182)	(0.00899)	(0.00905)	(0.00927)	(0.00197)	(0.00197)	(0.00197)	(0.00181)	(0.00181)	(0.00181)	(0.0206)	(0.0206)	(0.0211)																														
twin_six_fam																																																													0.0193	0.0201	0.0202	0.0133	0.0140	0.0172*	0.00346	0.00343	0.00342	0.00364	0.00362	0.00361	0.803***	0.802***	0.804***															
																																																													(0.0175)	(0.0176)	(0.0186)	(0.00876)	(0.00879)	(0.00925)	(0.00288)	(0.00288)	(0.00288)	(0.00245)	(0.00245)	(0.00245)	(0.0219)	(0.0219)	(0.0222)															
twin_seven_fam																																																																												-0.0552***	-0.0500***	-0.0590***	-0.0336***	-0.0325***	-0.0355***	-0.00156	-0.00164	-0.00155	0.00115	0.00109	0.00115	0.898***	0.897***	0.900***
																																																																												(0.0190)	(0.0191)	(0.0201)	(0.00826)	(0.00831)	(0.00852)	(0.00335)	(0.00335)	(0.00335)	(0.00298)	(0.00298)	(0.00298)	(0.0224)	(0.0224)	(0.0227)
Constant	-5.244***	-4.107***	-5.478***	-1.025***	-0.644***	-1.305***	0.283***	0.267***	0.265***	0.0967***	0.0804***	0.0794***	8.027***	6.778***	7.985***	-2.972***	-1.963***	-2.943***	-1.013***	-0.695***	-1.169***	0.190***	0.170***	0.172***	0.108***	0.0955***	0.0963***	3.916***	2.835***	3.722***	-3.183***	-2.306***	-2.978***	-0.997***	-0.758***	-1.069***	0.199***	0.175***	0.176***	0.125***	0.106***	0.106***	5.602***	4.849***	5.355***	-2.940***	-2.046***	-2.459***	-0.756***	-0.497***	-0.679***	0.237***	0.216***	0.217***	0.146***	0.134***	0.134***	4.495***	3.853***	4.052***	-3.111***	-2.279***	-2.553***	-0.669***	-0.422***	-0.533***	0.291***	0.279***	0.279***	0.185***	0.177***	0.177***	3.493***	3.175***	3.328***	-2.943***	-2.098***	-2.264***	-0.430***	-0.187	-0.232*	0.286***	0.265***	0.266***	0.187***	0.170***	0.170***	3.006***	2.621***	2.693***
	(0.190)	(0.164)	(0.169)	(0.123)	(0.112)	(0.116)	(0.0201)	(0.0185)	(0.0183)	(0.0116)	(0.0101)	(0.00997)	(0.267)	(0.236)	(0.231)	(0.683)	(0.665)	(0.616)	(0.144)	(0.137)	(0.118)	(0.0169)	(0.0156)	(0.0156)	(0.0124)	(0.0113)	(0.0114)	(0.976)	(0.956)	(0.920)	(0.128)	(0.115)	(0.120)	(0.0793)	(0.0738)	(0.0759)	(0.0157)	(0.0142)	(0.0142)	(0.0126)	(0.0114)	(0.0114)	(0.145)	(0.125)	(0.126)	(0.152)	(0.143)	(0.150)	(0.0943)	(0.0908)	(0.0937)	(0.0193)	(0.0180)	(0.0179)	(0.0151)	(0.0141)	(0.0140)	(0.185)	(0.170)	(0.163)	(0.399)	(0.393)	(0.391)	(0.110)	(0.107)	(0.110)	(0.0272)	(0.0258)	(0.0257)	(0.0218)	(0.0207)	(0.0206)	(0.184)	(0.167)	(0.165)	(0.355)	(0.348)	(0.349)	(0.121)	(0.118)	(0.119)	(0.0319)	(0.0303)	(0.0303)	(0.0251)	(0.0237)	(0.0237)	(0.214)	(0.197)	(0.197)
																																																																																										
Observations	84,328	84,328	84,328	56,845	56,845	56,845	87,621	87,621	87,621	91,541	91,541	91,541	91,557	91,557	91,557	175,349	175,349	175,349	113,920	113,920	113,920	183,435	183,435	183,435	195,573	195,573	195,573	195,674	195,674	195,674	211,378	211,378	211,378	139,750	139,750	139,750	219,700	219,700	219,700	231,305	231,305	231,305	231,411	231,411	231,411	215,081	215,081	215,081	144,109	144,109	144,109	223,322	223,322	223,322	235,487	235,487	235,487	235,588	235,588	235,588	186,923	186,923	186,923	127,500	127,500	127,500	193,865	193,865	193,865	203,989	203,989	203,989	204,094	204,094	204,094	151,269	151,269	151,269	103,596	103,596	103,596	157,105	157,105	157,105	165,584	165,584	165,584	165,699	165,699	165,699
R-squared	0.154	0.148	0.037	0.396	0.392	0.335	0.149	0.148	0.148	0.119	0.118	0.118	0.472	0.470	0.423	0.145	0.139	0.031	0.386	0.382	0.326	0.028	0.028	0.028	0.020	0.020	0.020	0.450	0.447	0.406	0.141	0.134	0.034	0.370	0.366	0.316	0.025	0.025	0.025	0.018	0.018	0.018	0.375	0.372	0.342	0.142	0.134	0.045	0.360	0.355	0.314	0.026	0.026	0.026	0.018	0.017	0.017	0.309	0.307	0.286	0.137	0.130	0.053	0.346	0.341	0.307	0.029	0.029	0.029	0.019	0.019	0.019	0.259	0.258	0.244	0.132	0.124	0.060	0.338	0.333	0.307	0.028	0.028	0.028	0.019	0.019	0.019	0.214	0.214	0.203
Robust standard errors in parentheses																																																																																										
*** p<0.01, ** p<0.05, * p<0.1																																																																																										
