	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
				(0.573)				(0.762)				(0.581)				(0.628)			
educfyrs22				-0.305				0.0521				-0.508				-0.0796			
				(0.599)				(0.799)				(0.657)				(0.821)			
educfyrs23				-0.152				0.159				-0.106				0.0678			
				(0.618)				(0.836)				(0.657)				(0.822)			
educfyrs24				-0.782				-0.702				-1.665*				-1.479			
				(0.729)				(0.916)				(0.963)				(1.007)			
educfyrs25				-0.255				0.0666				-0.257							
				(0.618)				(0.864)				(0.657)							
educfyrs27				-0.102								0.155							
				(0.798)								(0.962)							
height			-0.00426***	-0.00233***			-0.00352***	-0.00185***			-0.00373***	-0.00199***			-0.00462***	-0.00247***			-0.00502***
			(0.000187)	(0.000182)			(0.000404)	(0.000381)			(0.000322)	(0.000306)			(0.000309)	(0.000299)			(0.000329)
bmi			0.0193***	0.0169***			0.0169***	0.0141***			0.0195***	0.0160***			0.0204***	0.0171***			0.0213***
			(0.000248)	(0.000241)			(0.00109)	(0.00104)			(0.000974)	(0.000889)			(0.000834)	(0.000765)			(0.000747)
poor1			-0.0630***	-0.00809*			-0.0901***	-0.0327**			-0.0909***	-0.0296***			-0.0730***	-0.0155**			-0.0740***
			(0.00467)	(0.00445)			(0.0134)	(0.0127)			(0.00977)	(0.00925)			(0.00795)	(0.00760)			(0.00823)
yearc18	-0.511	-0.820***	-1.315**	-1.080*	-1.451***	-1.746***	-1.392*	-1.166	-0.976***	-1.032***	-1.445**	-1.189**	-0.601	-0.933***	-1.320**	-1.029*	-0.621	-0.887**	-1.165*
	(0.312)	(0.243)	(0.584)	(0.566)	(0.464)	(0.496)	(0.788)	(0.761)	(0.294)	(0.304)	(0.589)	(0.568)	(1,723)	(0.325)	(0.617)	(0.595)	(1,686)	(0.394)	(0.648)
yearc19	-0.135	-0.504***	-0.748***	-0.674***	-0.315**	-0.555***	-0.864***	-0.777***	-0.570***	-0.708***	-0.853***	-0.795***	-0.229	-0.573***	-0.788***	-0.675***	-0.152	-0.432**	-0.643***
	(0.214)	(0.0688)	(0.122)	(0.118)	(0.136)	(0.145)	(0.213)	(0.208)	(0.124)	(0.130)	(0.178)	(0.174)	(1,723)	(0.151)	(0.186)	(0.180)	(1,686)	(0.196)	(0.223)
yearc20	-0.135	-0.502***	-0.547***	-0.473***	-0.338***	-0.575***	-0.659***	-0.593***	-0.550***	-0.677***	-0.763***	-0.683***	-0.262	-0.620***	-0.587***	-0.477***	-0.339	-0.652***	-0.449**
	(0.213)	(0.0652)	(0.101)	(0.0981)	(0.130)	(0.139)	(0.187)	(0.184)	(0.119)	(0.125)	(0.160)	(0.156)	(1,723)	(0.148)	(0.168)	(0.162)	(1,686)	(0.195)	(0.208)
yearc21	-0.105	-0.445***	-0.513***	-0.470***	-0.276**	-0.478***	-0.527***	-0.549***	-0.366***	-0.476***	-0.532***	-0.517***	-0.196	-0.520***	-0.489***	-0.440***	-0.249	-0.509***	-0.438**
	(0.212)	(0.0625)	(0.0938)	(0.0914)	(0.129)	(0.135)	(0.174)	(0.171)	(0.118)	(0.124)	(0.150)	(0.146)	(1,723)	(0.146)	(0.164)	(0.159)	(1,686)	(0.193)	(0.205)
yearc22	-0.194	-0.530***	-0.653***	-0.566***	-0.402***	-0.596***	-0.641***	-0.589***	-0.558***	-0.653***	-0.803***	-0.723***	-0.316	-0.639***	-0.714***	-0.593***	-0.416	-0.702***	-0.566***
	(0.213)	(0.0635)	(0.0936)	(0.0911)	(0.131)	(0.137)	(0.177)	(0.173)	(0.119)	(0.124)	(0.152)	(0.148)	(1,723)	(0.147)	(0.162)	(0.157)	(1,686)	(0.195)	(0.203)
yearc23	-0.174	-0.510***	-0.601***	-0.540***	-0.433***	-0.601***	-0.610***	-0.581***	-0.573***	-0.674***	-0.706***	-0.668***	-0.306	-0.631***	-0.692***	-0.603***	-0.272	-0.531***	-0.570***
	(0.211)	(0.0587)	(0.0765)	(0.0746)	(0.121)	(0.126)	(0.141)	(0.138)	(0.115)	(0.120)	(0.131)	(0.128)	(1,723)	(0.143)	(0.149)	(0.144)	(1,686)	(0.191)	(0.194)
yearc24	-0.118	-0.448***	-0.476***	-0.465***	-0.171	-0.368***	-0.263*	-0.303**	-0.409***	-0.508***	-0.447***	-0.448***	-0.267	-0.587***	-0.533***	-0.497***	-0.354	-0.631***	-0.509***
	(0.212)	(0.0608)	(0.0794)	(0.0774)	(0.128)	(0.135)	(0.149)	(0.147)	(0.119)	(0.124)	(0.134)	(0.131)	(1,723)	(0.146)	(0.150)	(0.146)	(1,686)	(0.195)	(0.197)
yearc25	-0.118	-0.429***	-0.335***	-0.311***	-0.185	-0.331***	-0.188	-0.204	-0.476***	-0.545***	-0.399***	-0.409***	-0.204	-0.508***	-0.384**	-0.357**	-0.223	-0.481**	-0.305
	(0.212)	(0.0592)	(0.0747)	(0.0729)	(0.123)	(0.128)	(0.137)	(0.134)	(0.116)	(0.120)	(0.129)	(0.125)	(1,723)	(0.144)	(0.149)	(0.144)	(1,686)	(0.194)	(0.197)
yearc26	-0.128	-0.464***	-0.480***	-0.469***	-0.261**	-0.418***	-0.315**	-0.387***	-0.514***	-0.597***	-0.570***	-0.614***	-0.297	-0.620***	-0.546***	-0.533***	-0.329	-0.609***	-0.410**
	(0.211)	(0.0587)	(0.0693)	(0.0676)	(0.124)	(0.129)	(0.135)	(0.132)	(0.115)	(0.120)	(0.125)	(0.122)	(1,723)	(0.145)	(0.144)	(0.139)	(1,686)	(0.194)	(0.194)
yearc27	-0.0525	-0.372***	-0.277***	-0.265***	-0.201	-0.326**	-0.118	-0.175	-0.373***	-0.442***	-0.293**	-0.324***	-0.164	-0.477***	-0.341**	-0.301**	-0.167	-0.425**	-0.236
	(0.211)	(0.0587)	(0.0669)	(0.0653)	(0.126)	(0.131)	(0.132)	(0.129)	(0.116)	(0.121)	(0.121)	(0.118)	(1,723)	(0.145)	(0.144)	(0.139)	(1,686)	(0.195)	(0.196)
yearc28	0.0417	-0.257***	-0.306***	-0.312***	-0.114	-0.232*	-0.160	-0.238*	-0.263**	-0.311***	-0.261**	-0.315***	-0.0743	-0.386***	-0.334**	-0.329**	-0.137	-0.394**	-0.295
	(0.211)	(0.0572)	(0.0634)	(0.0618)	(0.120)	(0.124)	(0.126)	(0.123)	(0.114)	(0.118)	(0.118)	(0.115)	(1,723)	(0.145)	(0.143)	(0.138)	(1,686)	(0.197)	(0.195)
yearc29	0.185	-0.112*	-0.0618	-0.0810	-0.0396	-0.144	-0.0528	-0.113	-0.0798	-0.132	-0.0708	-0.129	0.140	-0.166	-0.130	-0.144	0.155	-0.108	-0.0103
	(0.211)	(0.0575)	(0.0619)	(0.0604)	(0.123)	(0.127)	(0.124)	(0.121)	(0.116)	(0.121)	(0.119)	(0.116)	(1,723)	(0.147)	(0.143)	(0.139)	(1,686)	(0.197)	(0.195)
yearc30		-0.449**	-0.247	-0.125									-0.338	-0.648	-1.170*	-0.882	0.135	-0.163	-0.144
		(0.221)	(0.253)	(0.245)									(1,723)	(0.531)	(0.615)	(0.594)	(1,686)	(0.374)	(0.377)
