	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
			(0.000581)	(0.000563)			(0.00282)	(0.00271)			(0.00233)	(0.00212)			(0.00174)	(0.00158)			(0.00143)	(0.00132)
poor1			0.308***	0.195***			0.387***	0.261***			0.393***	0.263***			0.321***	0.202***			0.289***	0.183***
			(0.0109)	(0.0105)			(0.0336)	(0.0319)			(0.0238)	(0.0225)			(0.0185)	(0.0177)			(0.0187)	(0.0181)
yearc18		0.458	4.707***	4.292***		1.974	5.190***	4.681***		0.980	4.650***	4.161***	2.137	1.402*	4.027***	3.571***		1.863**	3.765***	3.344**
		(0.571)	(1.263)	(1.232)		(1.351)	(1.842)	(1.797)		(0.791)	(1.352)	(1.309)	(4,907)	(0.801)	(1.389)	(1.344)		(0.919)	(1.435)	(1.393)
yearc19	0.300	0.924***	1.591***	1.490***	-0.897	0.858**	1.766***	1.522***	-0.114	1.165***	1.275***	1.190***	1.386	0.695**	0.902**	0.809**	-1.614*	0.396	0.887**	0.869**
	(0.547)	(0.163)	(0.267)	(0.261)	(1.124)	(0.429)	(0.526)	(0.519)	(0.689)	(0.343)	(0.419)	(0.409)	(4,907)	(0.327)	(0.386)	(0.377)	(0.841)	(0.358)	(0.405)	(0.394)
yearc20	0.310	0.928***	1.146***	1.027***	-0.234	1.515***	1.469***	1.270***	-0.0905	1.142***	1.206***	1.069***	1.522	0.880***	0.672**	0.560*	-1.019	1.110***	0.545	0.502
	(0.545)	(0.155)	(0.219)	(0.215)	(1.120)	(0.412)	(0.472)	(0.468)	(0.684)	(0.329)	(0.372)	(0.364)	(4,907)	(0.318)	(0.337)	(0.329)	(0.839)	(0.354)	(0.359)	(0.349)
yearc21	0.141	0.685***	0.831***	0.803***	-0.767	0.850**	0.750*	0.760*	-0.547	0.613*	0.363	0.386	1.233	0.469	0.101	0.180	-1.272	0.667*	0.293	0.331
	(0.544)	(0.148)	(0.203)	(0.200)	(1.119)	(0.401)	(0.438)	(0.436)	(0.683)	(0.325)	(0.346)	(0.339)	(4,907)	(0.312)	(0.325)	(0.318)	(0.837)	(0.347)	(0.351)	(0.341)
