	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
															
yearc11	-1.005	-1.292**	0.355	0.0431	-6.667*	-3.067	3.356	-5.282***	-4.394*	3.334	-3.461***	-2.258	-0.756	-2.463***	-0.865
	(15,403)	(0.599)	(1.627)	(3.976)	(3.956)	(3.303)	(3.779)	(1.363)	(2.379)	(3.809)	(1.032)	(2.032)	(13,176)	(0.857)	(1.762)
yearc12	-1.339	-1.550***	-2.236	-1.452	-6.255**	-8.663**	2.601	-4.472***	-8.389***	3.082	-2.764***	-5.807**	-0.502	-1.848**	-3.932*
	(15,403)	(0.589)	(1.840)	(3.976)	(2.914)	(4.286)	(3.779)	(1.116)	(2.906)	(3.810)	(0.922)	(2.455)	(13,176)	(0.862)	(2.085)
yearc13	-0.731	-0.940*	0.362	0.213	-2.634	-2.599	2.957	-3.862***	-2.768	3.581	-2.662***	-1.869	-0.0475	-1.518*	-0.594
	(15,403)	(0.563)	(1.609)	(3.992)	(2.050)	(3.375)	(3.794)	(1.173)	(2.254)	(3.813)	(0.979)	(1.937)	(13,176)	(0.834)	(1.715)
yearc14	-1.177	-1.333***	0.0508	0.147	-2.166	-4.346	3.871	-2.177**	-3.080*	3.618	-1.311*	-1.540	-0.0551	-0.767	-0.593
	(15,403)	(0.486)	(1.282)	(3.945)	(1.630)	(2.784)	(3.765)	(0.920)	(1.782)	(3.796)	(0.793)	(1.515)	(13,176)	(0.738)	(1.352)
yearc15	-0.174	-0.370	-0.378	0.777	-3.073	-1.401	4.379	-2.305**	-4.304**	4.705	-1.348	-2.415	0.688	-0.836	-1.400
	(15,403)	(0.475)	(0.999)	(3.945)	(2.323)	(3.120)	(3.762)	(0.965)	(1.899)	(3.794)	(0.851)	(1.519)	(13,176)	(0.745)	(1.195)
yearc16	-0.155	-0.322	0.683	0.650	-2.854	-3.651	4.552	-1.912**	-3.400*	4.604	-0.913	-1.533	0.578	-0.561	-0.328
	(15,403)	(0.472)	(1.067)	(3.949)	(2.166)	(2.844)	(3.764)	(0.955)	(1.855)	(3.797)	(0.820)	(1.522)	(13,176)	(0.731)	(1.227)
yearc17	-0.134	-0.326	0.238	0.662	-2.516	-1.230	4.365	-1.865**	-2.366*	4.409	-1.260*	-1.296	0.571	-0.588	-0.294
	(15,403)	(0.424)	(0.712)	(3.927)	(1.917)	(1.897)	(3.753)	(0.853)	(1.283)	(3.787)	(0.764)	(1.075)	(13,176)	(0.672)	(0.866)
yearc18	0.0594	-0.0950	0.0970	0.834	-1.802	-1.670	4.600	-1.441*	-3.031**	4.566	-1.151	-1.662	0.682	-0.536	-0.618
	(15,403)	(0.419)	(0.738)	(3.929)	(1.673)	(2.155)	(3.756)	(0.851)	(1.460)	(3.788)	(0.773)	(1.171)	(13,176)	(0.686)	(0.899)
yearc19	2.138	1.822		2.761	-2.326		7.801*	-0.000835		7.808*	1.642		3.170	1.485	
	(15,403)	(2.152)		(5.376)	(6.113)		(4.571)	(3.556)		(4.615)	(3.197)		(13,176)	(2.415)	
yearc37	-0.482	-0.945			-8.676		3.897	-5.450		3.419	-3.680		-0.414	-2.492	
	(15,403)	(3.867)			(7.546)		(5.429)	(5.277)		(5.476)	(4.736)		(13,176)	(4.324)	
yearc38	-4.215	-4.518*		-2.282	-10.81		0.356	-7.759**		0.0448	-6.442*		-4.106	-5.732*	
	(15,403)	(2.681)		(5.400)	(7.330)		(4.609)	(3.652)		(4.655)	(3.287)		(13,176)	(3.001)	
yearc39	-0.881	-1.292		-0.0839	-7.147		3.678	-5.269**		3.477	-3.637**		-0.632	-2.650*	
	(15,403)	(1.380)		(4.114)	(4.447)		(3.963)	(2.124)		(4.001)	(1.819)		(13,176)	(1.604)	
yearc40	-0.0348	-0.336		-0.266	-6.439*		4.532	-3.864**		4.721	-2.168		0.259	-1.678	
	(15,403)	(0.917)		(3.942)	(3.755)		(3.842)	(1.605)		(3.882)	(1.374)		(13,176)	(1.211)	
yearc41	-1.451	-1.739**	-2.719	-0.543	-5.649*	-7.293	3.256	-4.966***	-8.043**	3.646	-3.198***	-5.999	-0.249	-2.319**	-4.418
	(15,403)	(0.740)	(3.487)	(3.993)	(3.134)	(4.585)	(3.802)	(1.416)	(4.065)	(3.838)	(1.194)	(3.757)	(13,176)	(1.057)	(3.619)
yearc42	-1.126	-1.464***		-0.939	-6.458**		3.118	-4.997***		3.517	-3.217***		-0.313	-2.195***	
	(15,403)	(0.504)		(3.903)	(3.156)		(3.756)	(1.141)		(3.790)	(0.912)		(13,176)	(0.754)	
yearc43	-1.521	-1.875***	-0.423	-1.368	-7.754**	-5.709**	3.132	-5.619***	-4.865**	3.538	-3.880***	-3.216*	-0.658	-2.796***	-2.020
	(15,403)	(0.494)	(1.402)	(3.915)	(3.641)	(2.782)	(3.754)	(1.254)	(2.131)	(3.790)	(1.030)	(1.840)	(13,176)	(0.775)	(1.595)
yearc44	-0.483	-0.837*	5.353***	0.400	-5.883*	-1.303	4.334	-4.284***	-2.612	4.393	-2.842***	0.144	0.432	-1.717**	2.234
	(15,403)	(0.440)	(1.419)	(3.906)	(3.561)	(4.679)	(3.747)	(1.186)	(3.027)	(3.782)	(0.951)	(2.486)	(13,176)	(0.729)	(1.949)
yearc45	-0.763	-1.102***	0.316	-0.285	-6.397*	-3.317	3.737	-4.449***	-4.287**	3.980	-2.901***	-2.318	0.101	-1.848***	-1.196
	(15,403)	(0.413)	(0.886)	(3.901)	(3.453)	(2.750)	(3.744)	(1.079)	(1.796)	(3.779)	(0.865)	(1.505)	(13,176)	(0.678)	(1.246)
yearc46	-0.636	-0.964**	1.411*	-0.0453	-6.025*	-3.125	4.169	-4.266***	-3.611**	4.138	-2.969***	-1.839	0.152	-1.887***	-0.250
	(15,403)	(0.392)	(0.723)	(3.901)	(3.369)	(2.851)	(3.742)	(1.118)	(1.839)	(3.777)	(0.897)	(1.469)	(13,176)	(0.678)	(1.174)
yearc47	-0.799	-1.106***	0.823	-0.150	-5.637*	-2.979	3.885	-4.066***	-3.869**	3.958	-2.867***	-2.034	-0.0763	-2.026***	-0.689
	(15,403)	(0.377)	(0.650)	(3.899)	(3.079)	(2.665)	(3.741)	(1.011)	(1.696)	(3.776)	(0.835)	(1.302)	(13,176)	(0.656)	(0.987)
yearc48	-0.697	-1.006***	1.533***	0.157	-5.476*	-1.965	3.978	-3.871***	-2.649*	4.204	-2.586***	-0.832	0.219	-1.663***	0.386
	(15,403)	(0.373)	(0.558)	(3.898)	(3.161)	(2.505)	(3.740)	(0.986)	(1.545)	(3.776)	(0.824)	(1.192)	(13,176)	(0.642)	(0.901)
yearc49	-0.502	-0.794**	1.022**	0.487	-4.572	-2.049	4.196	-3.322***	-2.804*	4.271	-2.337***	-1.455	0.348	-1.482**	-0.284
	(15,403)	(0.364)	(0.516)	(3.898)	(2.829)	(2.386)	(3.740)	(0.919)	(1.434)	(3.776)	(0.788)	(1.157)	(13,176)	(0.631)	(0.861)
yearc50	-0.691	-0.971***	1.000**	-0.256	-5.078*	-2.201	3.860	-3.449***	-2.743**	4.036	-2.452***	-1.289	0.138	-1.588***	-0.204
	(15,403)	(0.357)	(0.485)	(3.897)	(2.692)	(2.182)	(3.740)	(0.877)	(1.320)	(3.775)	(0.764)	(1.069)	(13,176)	(0.614)	(0.791)
yearc51	-0.509	-0.768**	0.901*	0.134	-4.248*	-1.677	4.047	-3.104***	-2.378*	4.249	-2.083***	-1.165	0.354	-1.255**	-0.257
	(15,403)	(0.351)	(0.460)	(3.897)	(2.442)	(1.977)	(3.740)	(0.847)	(1.224)	(3.775)	(0.736)	(1.037)	(13,176)	(0.598)	(0.781)
yearc52	-0.502	-0.755**	0.888**	0.0736	-4.501*	-1.691	3.997	-3.048***	-2.297**	4.195	-1.977***	-1.035	0.266	-1.281**	-0.206
	(15,403)	(0.347)	(0.430)	(3.897)	(2.549)	(1.905)	(3.739)	(0.826)	(1.144)	(3.775)	(0.710)	(0.921)	(13,176)	(0.589)	(0.695)
