	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
																				
				(2.327)				(3.851)				(3.023)				(3.958)				(5.028)
educfyrs22				-2.370				-3.381				-2.085				1.826				
				(2.469)				(3.872)				(4.285)				(5.038)				
educfyrs23				-0.918				-6.334				-4.133								
				(3.202)				(4.859)				(4.286)								
height			-0.0147***	-0.0119***			-0.00442	-0.00325			-0.00495*	-0.00417*			-0.00512*	-0.00307			-0.00969***	-0.00706***
			(0.00196)	(0.00183)			(0.00375)	(0.00317)			(0.00296)	(0.00251)			(0.00269)	(0.00240)			(0.00252)	(0.00234)
bmi			0.124***	0.112***			0.158***	0.134***			0.170***	0.144***			0.174***	0.158***			0.173***	0.154***
			(0.00516)	(0.00479)			(0.0265)	(0.0239)			(0.0194)	(0.0165)			(0.0198)	(0.0190)			(0.0122)	(0.0109)
poor1			-1.150***	-0.787***			-1.570***	-1.075***			-1.516***	-1.015***			-1.283***	-0.902***			-1.057***	-0.688***
			(0.0702)	(0.0645)			(0.250)	(0.213)			(0.181)	(0.150)			(0.146)	(0.135)			(0.0958)	(0.0847)
yearc7	-3.203	-2.652***	8.315**	9.516***	-1.261	-10.60	1.048	3.724	3.629	-8.004***	0.268	2.970	3.387	-5.106***	3.115	4.152	-1.818	-2.935**	5.426	7.561*
	(16,704)	(1.015)	(3.753)	(3.631)	(4.429)	(7.369)	(6.566)	(6.163)	(4.169)	(2.416)	(4.984)	(4.579)	(4.240)	(1.800)	(4.853)	(4.748)	(14,432)	(1.460)	(4.260)	(4.054)
yearc11	-3.302	-2.488***	0.654	0.569	-1.675	-9.732	-2.163	-1.161	2.926	-8.121***	-3.238	-2.797	2.976	-4.486***	-1.516	-1.931	-2.603	-3.112***	-0.220	-0.208
	(16,704)	(0.641)	(1.704)	(1.657)	(4.304)	(6.242)	(3.399)	(3.254)	(4.098)	(1.950)	(2.369)	(2.224)	(4.154)	(1.234)	(2.230)	(2.228)	(14,432)	(1.036)	(1.893)	(1.823)
yearc12	-3.740	-2.741***	-1.959	-0.685	-3.375	-8.795**	-7.588*	-5.247	1.991	-6.531***	-7.015**	-4.756*	2.584	-3.480***	-5.008*	-3.842	-2.442	-2.245**	-3.382	-1.608
	(16,704)	(0.632)	(1.927)	(1.866)	(4.304)	(4.427)	(4.450)	(4.184)	(4.098)	(1.516)	(2.887)	(2.646)	(4.155)	(1.077)	(2.736)	(2.692)	(14,432)	(1.044)	(2.256)	(2.146)
yearc13	-3.114	-2.101***	0.479	1.415	-1.800	-4.502	-1.938	-0.846	2.341	-5.702***	-1.981	-0.560	3.147	-3.447***	-1.332	-0.451	-1.948	-1.965*	-0.0737	1.067
	(16,704)	(0.602)	(1.687)	(1.633)	(4.321)	(2.815)	(3.475)	(3.270)	(4.114)	(1.573)	(2.277)	(2.106)	(4.158)	(1.146)	(2.113)	(2.056)	(14,432)	(1.005)	(1.839)	(1.756)
yearc14	-3.683	-2.546***	0.188	0.892	-1.971	-3.924*	-3.491	-1.887	3.097	-3.684***	-2.285	-1.058	2.954	-1.742*	-1.003	-0.326	-2.160	-0.729	0.0456	0.818
	(16,704)	(0.516)	(1.341)	(1.297)	(4.271)	(2.171)	(2.824)	(2.628)	(4.082)	(1.203)	(1.769)	(1.627)	(4.140)	(0.946)	(1.623)	(1.568)	(14,432)	(0.910)	(1.438)	(1.375)
yearc15	-2.603	-1.540***	-0.211	0.671	-1.165	-4.958	-0.513	0.869	3.714	-3.914***	-3.279*	-1.704	4.195	-2.041**	-1.749	-1.020	-1.260	-1.322	-0.811	0.296
	(16,704)	(0.502)	(1.032)	(1.002)	(4.271)	(3.247)	(3.170)	(3.015)	(4.079)	(1.259)	(1.841)	(1.693)	(4.138)	(0.976)	(1.668)	(1.651)	(14,432)	(0.887)	(1.276)	(1.215)
yearc16	-2.691	-1.556***	0.810	1.415	-1.416	-4.742	-2.984	-1.838	3.773	-3.480***	-2.493	-1.228	3.936	-1.502	-0.919	-0.356	-1.525	-0.831	0.226	1.073
	(16,704)	(0.500)	(1.106)	(1.072)	(4.275)	(2.970)	(2.881)	(2.735)	(4.082)	(1.239)	(1.803)	(1.654)	(4.141)	(0.949)	(1.662)	(1.634)	(14,432)	(0.880)	(1.304)	(1.242)
yearc17	-2.550	-1.453***	0.402	0.753	-1.322	-4.107	-0.485	-0.0479	3.672	-3.084***	-1.469	-0.935	3.848	-1.740**	-0.665	-0.467	-1.444	-0.751	0.400	0.697
	(16,704)	(0.444)	(0.726)	(0.709)	(4.251)	(2.529)	(1.836)	(1.796)	(4.070)	(1.083)	(1.211)	(1.143)	(4.130)	(0.868)	(1.140)	(1.142)	(14,432)	(0.803)	(0.904)	(0.870)
yearc18	-2.448	-1.262***	0.232	0.876	-1.264	-3.260	-0.916	0.0495	3.820	-2.614**	-2.100	-1.001	3.927	-1.735**	-1.050	-0.472	-1.426	-0.841	-0.00762	0.752
	(16,704)	(0.441)	(0.749)	(0.730)	(4.253)	(2.084)	(2.116)	(2.028)	(4.073)	(1.083)	(1.383)	(1.281)	(4.131)	(0.879)	(1.255)	(1.246)	(14,432)	(0.820)	(0.939)	(0.899)
yearc41	-1.957	-0.961	-1.947	-2.843	-0.352	-4.566	-5.189	-5.505	4.835	-4.119**	-5.810	-6.246	5.204	-1.620	-4.228	-5.378	-0.240	-0.957	-2.738	-3.232
	(16,704)	(0.798)	(3.672)	(3.553)	(4.327)	(3.731)	(4.594)	(4.350)	(4.121)	(1.779)	(4.122)	(3.846)	(4.183)	(1.361)	(4.008)	(3.883)	(14,432)	(1.272)	(3.868)	(3.707)
yearc43	-1.858	-1.022**	-0.550	-0.392	-1.006	-6.738	-5.290*	-4.286*	4.793	-5.177***	-4.018*	-3.345*	5.203	-2.481**	-2.586	-2.644	-0.533	-1.397	-1.331	-0.829
	(16,704)	(0.515)	(1.468)	(1.424)	(4.243)	(4.472)	(2.700)	(2.582)	(4.069)	(1.573)	(2.104)	(1.956)	(4.131)	(1.143)	(2.042)	(2.027)	(14,432)	(0.904)	(1.722)	(1.648)
yearc44	-0.725	0.0743	6.111***	5.897***	0.955	-5.027	0.870	1.309	6.184	-3.882**	0.00216	0.811	6.207	-1.402	2.015	1.627	0.756	-0.237	3.711*	4.308**
	(16,704)	(0.455)	(1.450)	(1.408)	(4.233)	(4.622)	(4.483)	(4.223)	(4.061)	(1.534)	(2.810)	(2.564)	(4.122)	(1.072)	(2.744)	(2.749)	(14,432)	(0.853)	(2.068)	(1.962)
yearc45	-1.099	-0.233	0.968	1.270	0.198	-5.160	-1.305	-0.388	5.358	-3.767***	-2.143	-1.333	5.604	-1.399	-0.648	-0.565	0.236	-0.282	0.412	1.009
	(16,704)	(0.422)	(0.889)	(0.863)	(4.227)	(4.172)	(2.394)	(2.261)	(4.057)	(1.321)	(1.559)	(1.437)	(4.118)	(0.943)	(1.540)	(1.533)	(14,432)	(0.783)	(1.268)	(1.206)
yearc46	-0.817	0.0772	1.736**	2.032***	0.488	-4.761	-1.623	-0.687	6.032	-3.398**	-1.975	-1.180	5.998	-1.271	-0.693	-0.589	0.533	-0.152	0.784	1.477
	(16,704)	(0.399)	(0.718)	(0.711)	(4.227)	(4.087)	(2.595)	(2.463)	(4.055)	(1.362)	(1.654)	(1.524)	(4.117)	(0.972)	(1.590)	(1.601)	(14,432)	(0.778)	(1.230)	(1.167)
yearc47	-0.981	-0.0505	1.500**	1.461**	0.476	-4.287	-1.159	-0.735	5.751	-3.046**	-1.774	-1.332	5.821	-1.116	-0.457	-0.680	0.303	-0.252	0.799	1.048
	(16,704)	(0.385)	(0.630)	(0.619)	(4.225)	(3.740)	(2.336)	(2.253)	(4.054)	(1.226)	(1.457)	(1.354)	(4.116)	(0.905)	(1.340)	(1.360)	(14,432)	(0.756)	(0.995)	(0.954)
yearc48	-1.027	-0.0815	1.994***	2.034***	0.645	-3.931	-0.148	0.323	5.651	-2.808**	-0.781	-0.339	5.906	-0.877	0.536	0.420	0.422	0.0725	1.669*	2.034**
	(16,704)	(0.378)	(0.526)	(0.518)	(4.224)	(3.607)	(2.136)	(2.051)	(4.053)	(1.159)	(1.296)	(1.210)	(4.115)	(0.875)	(1.204)	(1.226)	(14,432)	(0.734)	(0.894)	(0.857)
yearc49	-0.743	0.247	1.416***	1.494***	1.007	-2.896	-0.463	0.139	5.965	-1.888*	-1.012	-0.538	6.076	-0.412	-0.0757	-0.113	0.655	0.397	0.961	1.345
	(16,704)	(0.371)	(0.484)	(0.478)	(4.223)	(3.141)	(2.045)	(1.953)	(4.053)	(1.053)	(1.196)	(1.116)	(4.115)	(0.829)	(1.165)	(1.186)	(14,432)	(0.723)	(0.853)	(0.820)
yearc50	-1.049	-0.0305	1.518***	1.466***	0.0677	-3.466	-0.306	-0.0360	5.456	-2.172**	-0.837	-0.641	5.666	-0.691	0.147	-0.0998	0.268	0.191	1.154	1.277*
	(16,704)	(0.364)	(0.440)	(0.439)	(4.223)	(2.887)	(1.757)	(1.704)	(4.053)	(1.012)	(1.053)	(0.996)	(4.115)	(0.808)	(1.039)	(1.066)	(14,432)	(0.706)	(0.761)	(0.736)
yearc51	-0.795	0.272	1.395***	1.364***	0.463	-2.504	-0.0114	0.231	5.722	-1.566	-0.679	-0.447	5.992	-0.0964	0.202	-0.00746	0.598	0.765	1.020	1.195
	(16,704)	(0.360)	(0.423)	(0.422)	(4.223)	(2.510)	(1.594)	(1.558)	(4.053)	(0.962)	(0.990)	(0.940)	(4.115)	(0.776)	(1.020)	(1.047)	(14,432)	(0.693)	(0.763)	(0.736)
yearc52	-0.872	0.209	1.357***	1.227***	0.391	-2.798	-0.0418	0.107	5.560	-1.621*	-0.645	-0.584	5.844	-0.0493	0.299	0.0118	0.428	0.686	1.108*	1.117*
	(16,704)	(0.357)	(0.394)	(0.392)	(4.223)	(2.653)	(1.535)	(1.489)	(4.052)	(0.945)	(0.922)	(0.872)	(4.114)	(0.755)	(0.886)	(0.903)	(14,432)	(0.687)	(0.671)	(0.649)
yearc53	-0.840	0.309	1.122***	0.994***	0.504	-1.890	0.0469	0.128	5.596	-0.978	-0.543	-0.548	5.839	0.189	0.238	-0.0540	0.421	0.863	1.047*	1.023*
	(16,704)	(0.355)	(0.372)	(0.370)	(4.222)	(2.141)	(1.390)	(1.366)	(4.052)	(0.878)	(0.820)	(0.786)	(4.114)	(0.737)	(0.797)	(0.817)	(14,432)	(0.682)	(0.615)	(0.597)
yearc54	-1.035	0.132	0.954***	0.848**	0.330	-1.826	-0.158	-0.0510	5.438	-1.095	-0.592	-0.563	5.678	0.0672	0.214	-0.0304	0.269	0.756	0.961	0.937
	(16,704)	(0.354)	(0.360)	(0.358)	(4.222)	(1.993)	(1.310)	(1.281)	(4.052)	(0.873)	(0.775)	(0.736)	(4.114)	(0.734)	(0.754)	(0.764)	(14,432)	(0.680)	(0.594)	(0.575)
yearc55	-0.888	0.296	0.940***	0.843**	0.460	-1.533	0.119	0.150	5.547	-0.740	-0.404	-0.425	5.783	0.314	0.288	0.0372	0.379	0.973	1.085*	1.038*
	(16,704)	(0.353)	(0.345)	(0.342)	(4.222)	(1.895)	(1.164)	(1.146)	(4.052)	(0.853)	(0.704)	(0.675)	(4.114)	(0.727)	(0.690)	(0.701)	(14,432)	(0.678)	(0.562)	(0.545)
yearc56	-0.936	0.296	0.881***	0.722**	0.352	-1.233	0.181	0.178	5.478	-0.315	-0.186	-0.332	5.718	0.534	0.379	0.0721	0.277	1.024	0.972*	0.827
	(16,704)	(0.353)	(0.336)	(0.332)	(4.222)	(1.665)	(1.073)	(1.061)	(4.052)	(0.829)	(0.628)	(0.607)	(4.114)	(0.720)	(0.622)	(0.628)	(14,432)	(0.678)	(0.537)	(0.520)
yearc57	-0.734	0.522	0.924***	0.786**	0.638	-0.607	0.409	0.376	5.654	-0.00620	-0.150	-0.264	5.851	0.767	0.438	0.141	0.392	1.258*	1.050**	0.907*
	(16,704)	(0.353)	(0.333)	(0.329)	(4.222)	(1.492)	(1.038)	(1.024)	(4.052)	(0.826)	(0.626)	(0.604)	(4.114)	(0.719)	(0.618)	(0.623)	(14,432)	(0.679)	(0.530)	(0.514)
yearc58	-0.828	0.472	0.902***	0.725**	0.372	-0.417	0.324	0.235	5.485	0.218	-0.103	-0.309	5.738	0.872	0.553	0.220	0.380	1.367**	1.234**	1.024**
	(16,704)	(0.355)	(0.327)	(0.322)	(4.222)	(1.301)	(0.919)	(0.916)	(4.052)	(0.826)	(0.572)	(0.555)	(4.114)	(0.724)	(0.577)	(0.579)	(14,432)	(0.682)	(0.519)	(0.502)
