	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																																
educf_7_10		-0.0554**		-0.0481***		-0.124**		-0.0186		-0.0933***		-0.0385***		-0.174***		-0.0250*		-0.145***		-0.0274		-0.254***		-0.0287		-0.0814		-0.0192		-0.200		-0.0298		-0.117**		-0.0217		-0.256*		-0.0438*		-0.124**		-0.0326		-0.330**		-0.0432*		-0.132		0.00307		-0.332		-0.0652*		-0.211***		-0.00159		-0.493**		-0.0620
		(0.0273)		(0.0108)		(0.0483)		(0.0154)		(0.0260)		(0.0127)		(0.0447)		(0.0141)		(0.0462)		(0.0210)		(0.0902)		(0.0176)		(0.0686)		(0.0303)		(0.136)		(0.0264)		(0.0573)		(0.0258)		(0.136)		(0.0225)		(0.0483)		(0.0217)		(0.136)		(0.0258)		(0.0800)		(0.0322)		(0.208)		(0.0327)		(0.0657)		(0.0302)		(0.221)		(0.0374)
poor1		-0.159***		-0.0834***		-0.334***		-0.171***		-0.205***		-0.0903***		-0.390***		-0.153***		-0.235***		-0.109***		-0.443***		-0.149***		-0.270***		-0.132***		-0.532***		-0.156***		-0.277***		-0.143***		-0.609***		-0.174***		-0.301***		-0.143***		-0.669***		-0.162***		-0.320***		-0.155***		-0.702***		-0.148***		-0.281***		-0.164***		-0.671***		-0.151***
		(0.0521)		(0.0201)		(0.0990)		(0.0237)		(0.0445)		(0.0152)		(0.0853)		(0.0349)		(0.0295)		(0.0167)		(0.0510)		(0.0215)		(0.0288)		(0.0194)		(0.0623)		(0.0238)		(0.0277)		(0.0234)		(0.0621)		(0.0189)		(0.0188)		(0.0203)		(0.0538)		(0.0149)		(0.0189)		(0.0227)		(0.0540)		(0.0163)		(0.0201)		(0.0188)		(0.0622)		(0.0162)
Constant	-2.884***	-2.173***	1.119	1.504*	-7.347***	-5.693***	-2.771***	-2.159***	-3.415***	-3.171***	0.374	0.595	-10.46***	-10.07***	-0.362	-0.127	-3.182***	-2.805***	2.496**	2.726**	-7.380***	-6.882***	-1.203**	-1.351**	-3.258***	-3.470***	1.720	1.821	-5.367***	-5.740***	-2.284***	-2.052***	-2.274***	-2.550***	1.148	0.937	-3.588***	-4.337***	-2.135***	-1.966***	-2.084***	-1.815***	0.457	0.390	-4.274***	-3.724***	-2.282***	-2.337***	-0.938***	-1.594***	0.383	0.121	-1.560*	-2.966***	-1.654***	-1.603***	-1.596***	-1.948***	-0.337	-1.110	-3.135***	-3.849***	-1.384***	-1.520***
	(0.704)	(0.789)	(0.856)	(0.873)	(1.215)	(1.437)	(0.468)	(0.546)	(0.224)	(0.298)	(1.135)	(1.108)	(0.509)	(0.747)	(0.347)	(0.357)	(0.589)	(0.671)	(1.211)	(1.186)	(1.059)	(1.437)	(0.588)	(0.513)	(0.229)	(0.278)	(1.171)	(1.206)	(0.832)	(1.162)	(0.287)	(0.233)	(0.300)	(0.396)	(1.170)	(1.244)	(0.947)	(1.171)	(0.345)	(0.274)	(0.346)	(0.294)	(1.019)	(1.131)	(0.954)	(1.129)	(0.286)	(0.256)	(0.289)	(0.328)	(1.175)	(1.276)	(0.811)	(0.742)	(0.250)	(0.217)	(0.327)	(0.298)	(1.032)	(1.112)	(1.080)	(0.910)	(0.254)	(0.193)
																																																																
Observations	16,099	15,968	13,030	12,917	15,529	15,405	5,858	5,791	86,374	85,714	63,474	62,929	84,331	83,698	33,566	33,204	142,256	141,018	97,715	96,724	141,105	139,886	59,351	58,536	152,012	150,655	98,716	97,716	151,237	149,887	62,863	62,010	141,061	139,738	90,013	89,102	140,504	139,194	58,719	57,831	123,422	122,473	77,577	76,965	122,978	122,039	55,852	55,249	101,070	100,249	63,245	62,707	100,709	99,891	50,463	49,847	77,150	76,468	48,641	48,219	76,831	76,151	41,731	41,199
R-squared	0.090	0.156	0.507	0.528	0.777	0.796	0.266	0.344	0.097	0.169	0.519	0.537	0.798	0.818	0.200	0.282	0.068	0.153	0.427	0.449	0.747	0.772	0.184	0.263	0.051	0.152	0.326	0.356	0.678	0.712	0.203	0.290	0.045	0.143	0.265	0.296	0.606	0.647	0.251	0.332	0.047	0.139	0.238	0.269	0.552	0.596	0.289	0.361	0.049	0.134	0.221	0.253	0.515	0.557	0.298	0.361	0.057	0.125	0.202	0.229	0.475	0.515	0.276	0.336
Robust standard errors in parentheses																																																																
*** p<0.01, ** p<0.05, * p<0.1																																																																
