	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																								
poor1		-0.192***		-0.0793***		-0.369***		-0.163***		-0.185***		-0.0826***		-0.339***		-0.132***		-0.296***		-0.109***		-0.562***		-0.148***		-0.298***		-0.123***		-0.636***		-0.228***		-0.287***		-0.137***		-0.666***		-0.169***		-0.241***		-0.158***		-0.555***		-0.135***		-0.295***		-0.186***		-0.629***		-0.129***
		(0.0490)		(0.0164)		(0.109)		(0.0351)		(0.0315)		(0.0146)		(0.0561)		(0.0222)		(0.0349)		(0.0266)		(0.0651)		(0.0289)		(0.0388)		(0.0304)		(0.0871)		(0.0301)		(0.0405)		(0.0305)		(0.0917)		(0.0248)		(0.0465)		(0.0575)		(0.0865)		(0.0308)		(0.0518)		(0.0446)		(0.123)		(0.0266)
twinbindfamily3									-0.0483	-0.0437	-0.100**	-0.0887*	-0.0962	-0.0638	-0.0126	-0.00229																																								
									(0.0571)	(0.0548)	(0.0447)	(0.0520)	(0.114)	(0.0792)	(0.0454)	(0.0244)																																								
twinbindfamily4																	-0.0641	-0.0331	-0.0366	-0.0294	-0.0910	-0.0281	-0.0297	-0.0323																																
																	(0.0643)	(0.0695)	(0.0422)	(0.0418)	(0.121)	(0.138)	(0.0469)	(0.0456)																																
twinbindfamily5																									0.0351	0.0361	0.0168	0.0101	0.171	0.178	0.0387	0.0361																								
																									(0.0847)	(0.0806)	(0.0765)	(0.0768)	(0.201)	(0.160)	(0.0693)	(0.0572)																								
twinbindfamily6																																	-0.00136	-0.0196	-0.00573	-0.0190	-0.139	-0.172	-0.00432	-0.0234																
																																	(0.0540)	(0.0478)	(0.0687)	(0.0630)	(0.127)	(0.114)	(0.0556)	(0.0447)																
twinbindfamily7																																									0.333***	0.271***	0.124	0.0682	0.749***	0.581***	0.0147	-0.0162								
																																									(0.110)	(0.0995)	(0.121)	(0.111)	(0.192)	(0.165)	(0.0558)	(0.0658)								
twinbindfamily8																																																	-0.187	-0.182	-0.355**	-0.397***	-0.381	-0.368	-0.132**	-0.0830
																																																	(0.185)	(0.145)	(0.164)	(0.135)	(0.373)	(0.293)	(0.0563)	(0.0498)
Constant	-2.133***	-2.846***	3.733**	3.542**	-7.324***	-8.792***	0.345***	0.194*	-1.877***	-2.036***	5.367***	5.063***	-6.370***	-6.615***	0.243***	-0.241	-2.317***	-2.752***	5.516***	5.459***	-5.750***	-6.764***	-0.212	-0.546***	-2.343***	-2.985***	3.488***	2.851***	-5.874***	-7.247***	-1.067***	-1.070***	-2.093***	-3.093***	3.930***	3.442***	-6.055***	-8.157***	-1.402***	-1.604***	-1.331*	-2.105***	3.670***	2.450**	-2.482	-4.841***	-0.769***	-1.452***	-2.523***	-4.234***	3.049***	1.949	-2.814***	-6.966***	-0.425**	-0.754**
	(0.118)	(0.344)	(1.537)	(1.545)	(0.240)	(0.798)	(0.0689)	(0.103)	(0.166)	(0.277)	(1.313)	(1.456)	(0.165)	(0.542)	(0.0750)	(0.196)	(0.196)	(0.269)	(0.955)	(0.967)	(0.591)	(0.467)	(0.219)	(0.189)	(0.153)	(0.334)	(0.802)	(0.890)	(0.259)	(0.526)	(0.125)	(0.157)	(0.136)	(0.323)	(1.022)	(1.027)	(0.282)	(0.567)	(0.0683)	(0.188)	(0.723)	(0.716)	(0.858)	(1.170)	(1.744)	(1.533)	(0.0875)	(0.263)	(0.335)	(0.695)	(1.072)	(1.282)	(0.599)	(1.174)	(0.212)	(0.326)
																																																								
Observations	46,435	46,134	31,887	31,638	46,383	46,083	19,328	19,152	43,118	42,731	28,983	28,676	43,041	42,654	21,006	20,682	44,601	44,176	30,523	30,219	44,511	44,086	19,918	19,627	19,889	19,686	13,450	13,314	19,849	19,646	8,163	8,028	20,476	20,338	13,926	13,835	20,404	20,267	8,894	8,808	8,090	8,029	5,255	5,233	8,064	8,003	3,874	3,834	8,322	8,269	5,639	5,619	8,290	8,237	4,311	4,285
R-squared	0.100	0.153	0.585	0.595	0.809	0.825	0.107	0.189	0.090	0.163	0.454	0.471	0.748	0.769	0.135	0.206	0.091	0.184	0.314	0.336	0.697	0.727	0.200	0.284	0.085	0.183	0.226	0.254	0.640	0.676	0.292	0.377	0.079	0.171	0.180	0.214	0.587	0.632	0.334	0.407	0.088	0.160	0.219	0.250	0.542	0.583	0.363	0.426	0.093	0.168	0.156	0.191	0.484	0.531	0.299	0.378
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
