	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
borddummy4																			-0.0989	-0.109	-0.125	-0.00908	-0.00579	0.00681	0.00416	0.00519	0.00425	0.0286*	0.0310*	0.0427**	0.177	0.180*	0.192*	0.0584**	0.0586**	0.0678**
																			(0.0849)	(0.0867)	(0.0930)	(0.0109)	(0.0108)	(0.0110)	(0.0447)	(0.0447)	(0.0458)	(0.0146)	(0.0145)	(0.0147)	(0.0920)	(0.0915)	(0.0880)	(0.0217)	(0.0216)	(0.0218)
borddummy5																									-0.00187	-0.000618		0.0339*	0.0371*		0.228	0.232		0.0597**	0.0606**	
																									(0.0638)	(0.0638)		(0.0161)	(0.0161)		(0.128)	(0.128)		(0.0228)	(0.0228)	
borddummy6																															0.285	0.290		0.0620*	0.0630*	
																															(0.169)	(0.168)		(0.0247)	(0.0246)	
Constant	0.581**	0.734**	0.559**	0.943**	0.997**	1.059**	0.618**	0.776**	0.561**	0.856**	1.003**	1.189**	0.472*	0.736**	0.622**	0.756**	1.020**	1.184**	0.153	0.478	0.287	0.732**	1.040**	0.762**	0.445*	0.674**	0.560**	0.999**	1.233**	1.278**	1.180*	1.394**	1.360**	0.504**	0.980**	0.691**
	(0.157)	(0.110)	(0.170)	(0.142)	(0.127)	(0.129)	(0.167)	(0.114)	(0.171)	(0.0854)	(0.0619)	(0.0623)	(0.195)	(0.146)	(0.171)	(0.0943)	(0.0639)	(0.0644)	(0.358)	(0.300)	(0.350)	(0.105)	(0.0662)	(0.0654)	(0.222)	(0.197)	(0.215)	(0.184)	(0.155)	(0.156)	(0.515)	(0.467)	(0.483)	(0.157)	(0.105)	(0.105)
																																				
Observations	17,738	17,738	17,738	17,738	17,738	17,738	22,654	22,654	22,654	22,654	22,654	22,654	19,407	19,407	19,407	19,407	19,407	19,407	15,513	15,513	15,513	15,513	15,513	15,513	12,065	12,065	12,065	12,065	12,065	12,065	8,868	8,868	8,868	8,868	8,868	8,868
R-squared	0.125	0.124	0.066	0.127	0.127	0.099	0.139	0.139	0.085	0.140	0.140	0.112	0.148	0.146	0.116	0.148	0.148	0.121	0.120	0.106	0.047	0.158	0.157	0.131	0.166	0.165	0.135	0.169	0.168	0.143	0.092	0.089	0.065	0.168	0.168	0.150
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
